Quarter,Time,Tm,Detail,NYG,SDG
1.0,8:28,Giants,Jay Feely 22 yard field goal,3,0
,4:23,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),3,7
2.0,13:05,Chargers,Keenan McCardell 15 yard pass from Drew Brees (Nate Kaeding kick),3,14
,9:35,Chargers,LaDainian Tomlinson 3 yard rush (Nate Kaeding kick),3,21
,3:34,Giants,Plaxico Burress 5 yard pass from Eli Manning (Jay Feely kick),10,21
,1:55,Giants,David Tyree 4 yard pass from Eli Manning (Jay Feely kick),17,21
,0:11,Giants,Jay Feely 40 yard field goal,20,21
3.0,13:08,Chargers,Keenan McCardell 26 yard pass from LaDainian Tomlinson (Nate Kaeding kick),20,28
,2:59,Chargers,Antonio Gates 14 yard pass from Drew Brees (Nate Kaeding kick),20,35
4.0,12:14,Giants,Jay Feely 28 yard field goal,23,35
,8:30,Chargers,LaDainian Tomlinson 5 yard rush (Nate Kaeding kick),23,42
,3:55,Chargers,Nate Kaeding 44 yard field goal,23,45
