Unnamed: 0,NYG,SDG
First Downs,23,25
Rush-Yds-TDs,23-86-0,33-268-3
Cmp-Att-Yd-TD-INT,24-41-352-2-0,20-23-217-3-0
Sacked-Yards,2-14,0-0
Net Pass Yards,338,217
Total Yards,424,485
Fumbles-Lost,2-1,1-1
Turnovers,1,1
Penalties-Yards,12-83,7-50
Third Down Conv.,8-15,5-8
Fourth Down Conv.,0-0,0-0
Time of Possession,29:55,30:05
