Unnamed: 0,TEN,WAS
First Downs,21,18
Rush-Yds-TDs,42-193-1,26-125-2
Cmp-Att-Yd-TD-INT,13-25-161-1-0,16-30-180-1-1
Sacked-Yards,3-10,0-0
Net Pass Yards,151,180
Total Yards,344,305
Fumbles-Lost,2-0,4-1
Turnovers,0,2
Penalties-Yards,5-51,6-46
Third Down Conv.,4-15,5-12
Fourth Down Conv.,1-1,0-0
Time of Possession,35:40,24:20
