Unnamed: 0,HOU,KAN
First Downs,21,28
Rush-Yds-TDs,22-118-2,34-166-1
Cmp-Att-Yd-TD-INT,20-32-253-1-1,24-32-211-3-0
Sacked-Yards,4-11,1-8
Net Pass Yards,242,203
Total Yards,360,369
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-37,1-5
Third Down Conv.,4-10,7-13
Fourth Down Conv.,1-1,1-1
Time of Possession,25:13,34:47
