Quarter,Time,Down,ToGo,Location,HOU,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,David Johnson right guard for 5 yards (tackle by Daniel Sorensen),0.610,0.740
1,14:26,2,5,HOU 30,0,0,Deshaun Watson pass incomplete deep left intended for Will Fuller,0.740,0.040
1,14:21,3,5,HOU 30,0,0,"Penalty on Laremy Tunsil: False Start, 5 yards (no play)",0.040,-0.620
1,14:21,3,10,HOU 25,0,0,Deshaun Watson pass incomplete short right intended for David Johnson,-0.620,-1.700
1,14:16,4,10,HOU 25,0,0,Bryan Anger punts 40 yards out of bounds,-1.700,-1.270
1,14:07,1,10,KAN 35,0,0,Clyde Edwards-Helaire left end for 3 yards (tackle by Brandon Dunn and Benardrick McKinney),1.270,1.130
1,13:32,2,7,KAN 38,0,0,Clyde Edwards-Helaire left guard for 3 yards (tackle by Zach Cunningham and J.J. Watt),1.130,0.830
1,12:54,3,4,KAN 41,0,0,Patrick Mahomes pass complete short left to Darrel Williams for 6 yards (tackle by A.J. Moore),0.830,2.060
1,12:16,1,10,KAN 47,0,0,Patrick Mahomes pass complete short middle to Mecole Hardman for 6 yards (tackle by Vernon Hargreaves),2.060,2.330
1,11:47,2,4,HOU 47,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 11 yards (tackle by Bradley Roby),2.330,3.180
1,11:09,1,10,HOU 36,0,0,Patrick Mahomes pass incomplete deep left intended for Demarcus Robinson (defended by Justin Reid),3.180,2.640
1,11:03,2,10,HOU 36,0,0,Patrick Mahomes sacked by Jacob Martin for -8 yards,2.640,0.890
1,10:19,3,18,HOU 44,0,0,Patrick Mahomes pass incomplete short right intended for Demarcus Robinson,0.890,0.330
1,10:14,4,18,HOU 44,0,0,"Tommy Townsend punts 44 yards, touchback.",0.330,-0.280
1,10:06,1,10,HOU 20,0,0,Duke Johnson left end for 7 yards (tackle by Anthony Hitchens),0.280,0.680
