Quarter,Time,Tm,Detail,HOU,KAN
1.0,4:54,Texans,David Johnson 19 yard rush (Ka'imi Fairbairn kick),7,0
2.0,14:13,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick),7,7
,2:26,Chiefs,Sammy Watkins 2 yard pass from Patrick Mahomes (Harrison Butker kick),7,14
,0:00,Chiefs,Harrison Butker 29 yard field goal,7,17
3.0,10:53,Chiefs,Clyde Edwards-Helaire 27 yard rush (Harrison Butker kick),7,24
4.0,11:25,Chiefs,Tyreek Hill 3 yard pass from Patrick Mahomes (Harrison Butker kick),7,31
,7:15,Texans,Jordan Akins 19 yard pass from Deshaun Watson (pass failed),13,31
,2:38,Texans,Deshaun Watson 1 yard rush (Ka'imi Fairbairn kick),20,31
,0:30,Chiefs,Harrison Butker 19 yard field goal,20,34
