Quarter,Time,Tm,Detail,TAM,CHI
1.0,9:48,Buccaneers,Ryan Succop 39 yard field goal,3,0
,0:56,Buccaneers,Mike Evans 2 yard pass from Tom Brady (Ryan Succop kick),10,0
2.0,7:03,Buccaneers,Ryan Succop 35 yard field goal,13,0
,1:48,Bears,David Montgomery 3 yard rush (Cairo Santos kick),13,7
,0:36,Bears,Jimmy Graham 12 yard pass from Nick Foles (Cairo Santos kick),13,14
3.0,9:04,Buccaneers,Ryan Succop 46 yard field goal,16,14
4.0,10:34,Bears,Cairo Santos 47 yard field goal,16,17
,4:49,Buccaneers,Ryan Succop 25 yard field goal,19,17
,1:13,Bears,Cairo Santos 38 yard field goal,19,20
