Unnamed: 0,TAM,CHI
First Downs,18,18
Rush-Yds-TDs,20-106-0,14-35-1
Cmp-Att-Yd-TD-INT,25-41-253-1-0,30-42-243-1-1
Sacked-Yards,3-20,3-35
Net Pass Yards,233,208
Total Yards,339,243
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,11-109,6-66
Third Down Conv.,4-14,3-10
Fourth Down Conv.,1-2,0-0
Time of Possession,31:32,28:28
