Unnamed: 0,IND,ARI
First Downs,20,20
Rush-Yds-TDs,33-126-0,21-133-1
Cmp-Att-Yd-TD-INT,18-28-225-2-0,27-43-245-1-0
Sacked-Yards,2-5,0-0
Net Pass Yards,220,245
Total Yards,346,378
Fumbles-Lost,0-0,2-0
Turnovers,0,0
Penalties-Yards,5-40,11-85
Third Down Conv.,8-15,6-13
Fourth Down Conv.,0-1,1-3
Time of Possession,35:29,24:31
