Quarter,Time,Tm,Detail,IND,ARI
1.0,6:11,Colts,T.Y. Hilton 1 yard pass from Carson Wentz (Michael Badgley kick),7,0
,3:03,Cardinals,Chase Edmonds 2 yard rush (Matt Prater kick failed),7,6
2.0,4:20,Colts,"Safety, Kyler Murray intentional grounding in end zone",9,6
,0:01,Colts,Michael Badgley 41 yard field goal,12,6
3.0,10:53,Cardinals,Antoine Wesley 24 yard pass from Kyler Murray (Matt Prater kick),12,13
,0:03,Colts,Michael Badgley 37 yard field goal,15,13
4.0,6:37,Colts,Dezmon Patmon 14 yard pass from Carson Wentz (Michael Badgley kick),22,13
,0:42,Cardinals,Matt Prater 28 yard field goal,22,16
