Quarter,Time,Down,ToGo,Location,IND,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 66 yards, returned by Greg Dortch for 21 yards (tackle by Zaire Franklin)",,
1,14:55,1,10,ARI 20,0,0,Chase Edmonds up the middle for 6 yards (tackle by E.J. Speed and Jahleel Addae),,
1,14:36,2,4,ARI 26,0,0,Chase Edmonds up the middle for 5 yards (tackle by Bobby Okereke and DeForest Buckner),,
1,14:12,1,10,ARI 31,0,0,Chase Edmonds left end for 4 yards (tackle by Isaiah Rodgers),,
1,13:48,2,6,ARI 35,0,0,Kyler Murray pass complete short right to Zach Ertz for 3 yards (tackle by George Odum),,
1,13:13,3,3,ARI 38,0,0,"Penalty on Josh Jones: False Start, 5 yards (accepted) (no play)",,
1,12:47,3,8,ARI 33,0,0,Kyler Murray pass complete short left to Zach Ertz for 10 yards (tackle by Isaiah Rodgers and George Odum),,
1,12:25,1,10,ARI 43,0,0,Chase Edmonds up the middle for 2 yards (tackle by Dayo Odeyingbo),,
1,11:55,2,8,ARI 45,0,0,Kyler Murray pass complete short right to Chase Edmonds for 5 yards (tackle by E.J. Speed),,
1,11:16,3,3,ARI 50,0,0,Kyler Murray pass complete short left to Zach Ertz for 10 yards (tackle by E.J. Speed),,
1,10:56,1,10,IND 40,0,0,Kyler Murray pass complete short left to Antoine Wesley for 5 yards (tackle by Al-Quadin Muhammad),,
1,10:24,2,5,IND 35,0,0,Kyler Murray left end for 2 yards (tackle by E.J. Speed),,
1,9:49,3,3,IND 33,0,0,Kyler Murray pass incomplete deep right intended for Christian Kirk,,
1,9:45,4,3,IND 33,0,0,Matt Prater 51 yard field goal no good,,
1,9:40,1,10,IND 41,0,0,Jonathan Taylor up the middle for 43 yards (tackle by Isaiah Simmons),,
1,8:58,1,10,ARI 16,0,0,Jonathan Taylor up the middle for 3 yards (tackle by Zach Allen and Antonio Hamilton),,
1,8:21,2,7,ARI 13,0,0,Carson Wentz pass complete short left to Michael Pittman for 9 yards (tackle by Joe Walker and Budda Baker),,
1,7:45,1,4,ARI 4,0,0,Jonathan Taylor left tackle for -1 yards (tackle by Joe Walker and Chandler Jones),,
1,7:03,2,5,ARI 5,0,0,Jonathan Taylor up the middle for 4 yards (tackle by Leki Fotu),,
1,6:16,3,1,ARI 1,6,0,"Carson Wentz pass complete short left to T.Y. Hilton for 1 yard, touchdown",,
1,6:11,,,ARI 15,7,0,Michael Badgley kicks extra point good,,
1,6:11,,,IND 35,7,0,"Rigoberto Sanchez kicks off 68 yards, returned by Greg Dortch for 13 yards (tackle by Zaire Franklin)",,
1,6:07,1,10,ARI 10,7,0,Kyler Murray pass incomplete short left intended for Chase Edmonds,,
1,6:03,2,10,ARI 10,7,0,Kyler Murray pass complete short left to Christian Kirk for 8 yards (tackle by Isaiah Rodgers),,
1,5:24,3,2,ARI 18,7,0,Chase Edmonds right end for 10 yards (tackle by George Odum),,
1,4:57,1,10,ARI 28,7,0,Kyler Murray pass complete short right to Chase Edmonds for 13 yards (tackle by Xavier Rhodes),,
1,4:28,1,10,ARI 41,7,0,Kyler Murray right tackle for 57 yards (tackle by George Odum),,
1,3:45,1,2,IND 2,7,0,Chase Edmonds right end for no gain (tackle by E.J. Speed),,
1,3:06,2,2,IND 2,7,6,"Chase Edmonds for 2 yards, touchdown",,
1,3:03,,,IND 15,7,6,Matt Prater kicks extra point no good,,
1,3:03,,,ARI 35,7,6,"Matt Prater kicks off 65 yards, touchback.",,
1,3:03,1,10,IND 25,7,6,Carson Wentz pass incomplete short left intended for Jonathan Taylor,,
1,3:00,2,10,IND 25,7,6,Carson Wentz pass complete short left to Kylen Granson for 6 yards (tackle by Joe Walker),,
1,2:20,3,4,IND 31,7,6,Carson Wentz pass complete deep left to Ashton Dulin for 23 yards (tackle by Antonio Hamilton),,
1,1:56,1,10,ARI 46,7,6,Jonathan Taylor up the middle for 1 yard (tackle by Corey Peters and Leki Fotu),,
1,1:09,2,9,ARI 45,7,6,"Penalty on Corey Peters: Defensive Offside, 5 yards (accepted) (no play)",,
1,0:46,2,4,ARI 40,7,6,"Penalty on Leki Fotu: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
1,0:19,1,10,ARI 35,7,6,Jonathan Taylor left tackle for -2 yards (tackle by Zach Allen and Leki Fotu),,
Quarter,Time,Down,ToGo,Location,IND,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,ARI 37,7,6,Nyheim Hines up the middle for 2 yards (tackle by Budda Baker),,
2,14:16,3,10,ARI 35,7,6,Carson Wentz pass incomplete short middle intended for Mo Alie-Cox (defended by Budda Baker),,
2,14:14,4,10,ARI 35,7,6,Michael Badgley 53 yard field goal no good,,
