Unnamed: 0,CAR,NOR
First Downs,24,18
Rush-Yds-TDs,40-271-2,17-92-0
Cmp-Att-Yd-TD-INT,21-33-226-3-0,29-49-235-1-1
Sacked-Yards,0-0,2-17
Net Pass Yards,226,218
Total Yards,497,310
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,6-55,4-30
Third Down Conv.,7-15,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,36:00,24:00
