Unnamed: 0,NOR,IND
First Downs,24,19
Rush-Yds-TDs,36-161-3,24-164-1
Cmp-Att-Yd-TD-INT,20-29-354-2-0,23-41-213-2-1
Sacked-Yards,1-4,2-6
Net Pass Yards,350,207
Total Yards,511,371
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,8-73,6-30
Third Down Conv.,6-12,7-16
Fourth Down Conv.,0-0,1-1
Time of Possession,30:09,29:51
