Quarter,Time,Down,ToGo,Location,NOR,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Jonathan Taylor right end for 4 yards (tackle by Demario Davis),0.610,0.600
1,14:26,2,6,IND 29,0,0,Gardner Minshew pass incomplete short right intended for Michael Pittman (defended by Paulson Adebo),0.600,-0.100
1,14:21,3,6,IND 29,0,0,Gardner Minshew pass complete short left to Michael Pittman for 2 yards (tackle by Paulson Adebo),-0.100,-1.310
1,13:31,4,4,IND 31,0,0,"Rigoberto Sanchez punts 52 yards, returned by Rashid Shaheed for 8 yards (tackle by Trevor Denbow and Andrew Ogletree)",-1.310,-0.610
1,13:19,1,10,NOR 25,0,0,Alvin Kamara left tackle for no gain (tackle by Samson Ebukam and DeForest Buckner),0.610,0.060
1,12:54,2,10,NOR 25,0,0,Derek Carr pass complete short left to Michael Thomas for 17 yards (tackle by Tony Brown),0.060,1.730
1,12:28,1,10,NOR 42,0,0,Derek Carr pass complete short middle to Alvin Kamara for 3 yards (tackle by Zaire Franklin),1.730,1.590
1,11:55,2,7,NOR 45,0,0,Alvin Kamara left guard for 3 yards (tackle by Shaquille Leonard and Kenny Moore),1.590,1.290
1,11:25,3,4,NOR 48,0,0,Derek Carr pass incomplete short left intended for Michael Thomas,1.290,-0.190
1,11:22,4,4,NOR 48,0,0,"Lou Hedley punts 33 yards, fair catch by Isaiah McKenzie at IND-19",-0.190,-0.150
1,11:15,1,10,IND 19,0,0,Jonathan Taylor up the middle for 6 yards (tackle by Jordan Howden),0.150,0.480
1,10:40,2,4,IND 25,0,0,Jonathan Taylor up the middle for 14 yards (tackle by Demario Davis and Tyrann Mathieu),0.480,1.530
1,10:08,1,10,IND 39,0,0,Jonathan Taylor left tackle for 42 yards (tackle by Jordan Howden and Demario Davis),1.530,4.310
1,9:31,1,10,NOR 19,0,0,Zack Moss left tackle for 1 yard (tackle by Jordan Howden and Tanoh Kpassagnon),4.310,3.880
1,8:52,2,9,NOR 18,0,0,Gardner Minshew pass complete short left to Michael Pittman for 1 yard (tackle by Marshon Lattimore and Malcolm Roach),3.880,3.260
1,8:11,3,8,NOR 17,0,0,Gardner Minshew pass complete short left to Michael Pittman for 7 yards (tackle by Carl Granderson),3.260,2.910
1,7:21,4,1,NOR 10,0,0,"Penalty on IND: Delay of Game, 5 yards (accepted) (no play)",2.910,2.470
1,7:02,4,6,NOR 15,0,0,"Penalty on Bryan Bresee: Illegal Formation, 5 yards (accepted) (no play)",2.470,2.910
1,7:02,4,1,NOR 10,0,6,"Gardner Minshew pass complete short right to Michael Pittman for 10 yards, touchdown",2.910,7.000
1,6:56,,,NOR 15,0,7,Matt Gay kicks extra point good,0.000,0.000
1,6:56,,,IND 35,0,7,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,6:56,1,10,NOR 25,0,7,Alvin Kamara right guard for 4 yards (tackle by Tony Brown),0.610,0.600
1,6:25,2,6,NOR 29,0,7,Derek Carr pass incomplete deep middle intended for Chris Olave,0.600,-0.100
1,6:17,3,6,NOR 29,0,7,Derek Carr pass complete deep middle to Michael Thomas for 31 yards (tackle by E.J. Speed and Tony Brown),-0.100,2.920
1,5:37,1,10,IND 40,0,7,Jamaal Williams up the middle for no gain (tackle by Zaire Franklin and Taven Bryan),2.920,2.370
1,5:04,2,10,IND 40,0,7,Derek Carr pass complete short left to Kendre Miller for 9 yards (tackle by Shaquille Leonard),2.370,2.870
1,4:12,3,1,IND 31,0,7,Taysom Hill left tackle for 13 yards (tackle by Rodney Thomas),2.870,4.370
1,3:50,1,10,IND 18,6,7,"Derek Carr pass complete short middle to Alvin Kamara for 18 yards, touchdown",4.370,7.000
1,3:44,,,IND 15,7,7,Blake Grupe kicks extra point good,0.000,0.000
1,3:44,,,NOR 35,7,7,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
1,3:44,1,10,IND 25,7,7,Gardner Minshew pass complete short middle to Michael Pittman for 3 yards (tackle by Paulson Adebo),0.610,0.470
1,3:03,2,7,IND 28,7,7,Gardner Minshew pass complete short middle to Josh Downs for 12 yards (tackle by Pete Werner),0.470,1.600
1,2:25,1,10,IND 40,7,7,"Gardner Minshew pass incomplete intended for Alec Pierce. Penalty on Marshon Lattimore: Defensive Pass Interference, 28 yards (accepted) . Penalty on Marshon Lattimore: Defensive Holding, 5 yards (declined) (no play)",1.600,3.450
1,2:18,1,10,NOR 32,7,7,Jonathan Taylor left end for 3 yards (tackle by Bryan Bresee and Demario Davis),3.450,3.310
1,1:35,2,7,NOR 29,7,7,Gardner Minshew pass complete short right to Josh Downs for 5 yards (tackle by Demario Davis),3.310,3.270
1,0:54,3,2,NOR 24,7,7,Jonathan Taylor left end for 13 yards (tackle by Jordan Howden),3.270,4.840
1,0:28,1,10,NOR 11,7,7,Gardner Minshew pass complete short left to Michael Pittman for 9 yards (tackle by Marshon Lattimore),4.840,5.850
1,0:04,2,1,NOR 2,7,7,Jonathan Taylor up the middle for no gain (tackle by Malcolm Roach and Jordan Howden),5.850,5.120
Quarter,Time,Down,ToGo,Location,NOR,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,NOR 2,7,7,Gardner Minshew pass incomplete short right,5.120,3.250
