Quarter,Time,Tm,Detail,TAM,ATL
1.0,7:43,Buccaneers,Joey Galloway 44 yard pass from Jeff Garcia (Matt Bryant kick),7,0
2.0,10:42,Buccaneers,Ronde Barber 41 yard defensive fumble return (Matt Bryant kick),14,0
3.0,6:35,Buccaneers,Matt Bryant 23 yard field goal,17,0
,4:51,Buccaneers,Alex Smith 21 yard pass from Jeff Garcia (Matt Bryant kick),24,0
4.0,14:53,Buccaneers,Earnest Graham 26 yard rush (Matt Bryant kick),31,0
,1:10,Falcons,Adam Jennings 7 yard pass from Joey Harrington (Morten Andersen kick),31,7
