Unnamed: 0,TAM,ATL
First Downs,15,15
Rush-Yds-TDs,31-149-1,19-49-0
Cmp-Att-Yd-TD-INT,11-21-161-2-0,31-47-245-1-1
Sacked-Yards,1-5,5-29
Net Pass Yards,156,216
Total Yards,305,265
Fumbles-Lost,2-2,4-3
Turnovers,2,4
Penalties-Yards,6-45,11-105
Third Down Conv.,3-10,5-16
Fourth Down Conv.,0-1,0-2
Time of Possession,27:26,32:34
