Unnamed: 0,ARI,SEA
First Downs,30,18
Rush-Yds-TDs,33-117-1,18-115-2
Cmp-Att-Yd-TD-INT,29-47-363-3-1,14-32-240-1-1
Sacked-Yards,3-29,2-12
Net Pass Yards,334,228
Total Yards,451,343
Fumbles-Lost,2-2,2-0
Turnovers,3,1
Penalties-Yards,9-66,14-131
Third Down Conv.,8-17,1-8
Fourth Down Conv.,0-0,1-1
Time of Possession,38:52,21:08
