Quarter,Time,Tm,Detail,ARI,SEA
2.0,12:52,Cardinals,Chandler Catanzaro 33 yard field goal,3,0
,12:14,Cardinals,"Safety, Frostee Rucker tackled in end zone by Russell Wilson",5,0
,6:41,Cardinals,Michael Floyd 27 yard pass from Carson Palmer (Chandler Catanzaro kick),12,0
,4:02,Cardinals,Michael Floyd 35 yard pass from Carson Palmer (Chandler Catanzaro kick),19,0
,1:52,Seahawks,Will Tukuafu 1 yard rush (Stephen Hauschka kick),19,7
,0:00,Cardinals,Chandler Catanzaro 43 yard field goal,22,7
3.0,11:18,Seahawks,Stephen Hauschka 31 yard field goal,22,10
,6:29,Cardinals,Chandler Catanzaro 43 yard field goal,25,10
,4:52,Seahawks,Doug Baldwin 32 yard pass from Russell Wilson (Stephen Hauschka kick),25,17
4.0,14:44,Seahawks,Marshawn Lynch 3 yard rush (pass failed),25,23
,13:00,Seahawks,Bobby Wagner 22 yard defensive fumble return (pass failed),25,29
,8:41,Cardinals,Jermaine Gresham 14 yard pass from Carson Palmer (Chandler Catanzaro kick),32,29
,1:58,Cardinals,Andre Ellington 48 yard rush (Chandler Catanzaro kick),39,29
,0:58,Seahawks,Stephen Hauschka 46 yard field goal,39,32
