Quarter,Time,Down,ToGo,Location,DAL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Connor Barth kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DAL 20,0,0,Darren McFadden left end for no gain (tackle by Lavonte David),0.280,-0.270
1,14:20,2,10,DAL 20,0,0,Matt Cassel pass complete short left to Dez Bryant for 4 yards (tackle by Jude Adjei-Barimah),-0.270,-0.430
1,13:37,3,6,DAL 24,0,0,"Penalty on Jason Witten: False Start, 5 yards (no play)",-0.430,-1.140
1,13:19,3,11,DAL 19,0,0,Matt Cassel pass complete short right to Darren McFadden for 10 yards (tackle by Bradley McDougald),-1.140,-1.440
1,12:42,4,1,DAL 29,0,0,"Chris Jones punts 41 yards, out of bounds",-1.440,-0.940
1,12:32,1,10,TAM 30,0,0,Doug Martin middle for no gain (tackle by Kyle Wilber and Rolando McClain),0.940,0.390
1,11:54,2,10,TAM 30,0,0,Jameis Winston pass complete short middle to Mike Evans for 5 yards (tackle by Anthony Hitchens and Jeremy Mincey),0.390,0.370
1,11:13,3,5,TAM 35,0,0,Jameis Winston sacked by Tyrone Crawford for -4 yards,0.370,-1.310
1,10:31,4,9,TAM 31,0,0,"Jake Schum punts 43 yards, returned by Cole Beasley for 22 yards (tackle by Bruce Carter)",-1.310,-2.130
1,10:15,1,10,DAL 48,0,0,Darren McFadden right guard for 7 yards (tackle by Bradley McDougald),2.130,2.530
1,9:41,2,3,TAM 45,0,0,Darren McFadden middle for 2 yards (tackle by George Johnson),2.530,2.080
1,9:03,3,1,TAM 43,0,0,Darren McFadden left guard for 2 yards (tackle by Lavonte David and Akeem Spence),2.080,2.850
1,8:20,1,10,TAM 41,0,0,"Matt Cassel left guard for 2 yards (tackle by George Johnson). Matt Cassel fumbles (forced by George Johnson), recovered by Matt Cassel at TAM-39",2.850,2.580
1,7:41,2,8,TAM 39,0,0,Darren McFadden middle for 2 yards (tackle by George Johnson and Lavonte David),2.580,2.150
1,7:02,3,6,TAM 37,0,0,Matt Cassel pass complete short middle to Jason Witten for 7 yards (tackle by Lavonte David),2.150,3.580
1,6:22,1,10,TAM 30,0,0,Matt Cassel pass complete short right to Dez Bryant for 9 yards (tackle by Sterling Moore),3.580,4.250
1,5:41,2,1,TAM 21,0,0,Darren McFadden right guard for 5 yards (tackle by Alterraun Verner and Chris Conte),4.250,4.510
1,4:55,1,10,TAM 16,0,0,Matt Cassel pass incomplete deep right intended for Dez Bryant,4.510,3.900
1,4:48,2,10,TAM 16,0,0,Matt Cassel pass incomplete short right intended for Darren McFadden,3.900,3.080
1,4:42,3,10,TAM 16,0,0,Matt Cassel sacked by Kwon Alexander for -8 yards,3.080,1.870
1,4:00,4,18,TAM 24,3,0,Dan Bailey 42 yard field goal good,1.870,3.000
1,4:00,,,DAL 35,3,0,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
1,3:55,1,10,TAM 20,3,0,Jameis Winston pass complete short right to Jorvorskie Lane for 8 yards (tackle by Barry Church),0.280,0.810
1,3:14,2,2,TAM 28,3,0,Doug Martin left tackle for 4 yards (tackle by Rolando McClain),0.810,1.070
1,2:39,1,10,TAM 32,3,0,Doug Martin middle for 7 yards (tackle by Nick Hayden and Barry Church),1.070,1.470
1,2:05,2,3,TAM 39,3,0,Doug Martin middle for 2 yards (tackle by Nick Hayden),1.470,1.030
1,1:30,3,1,TAM 41,3,0,Doug Martin left guard for 18 yards (tackle by Barry Church and Morris Claiborne),1.030,2.850
1,0:45,1,10,DAL 41,3,0,Jameis Winston pass incomplete deep left intended for Russell Shepard,2.850,2.310
1,0:38,2,10,DAL 41,3,0,Doug Martin left end for 7 yards (tackle by Demarcus Lawrence),2.310,2.540
Quarter,Time,Down,ToGo,Location,DAL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,3,DAL 34,3,0,Jameis Winston pass incomplete short left intended for Donteea Dye (defended by Morris Claiborne),2.540,1.090
2,14:56,4,3,DAL 34,3,3,Connor Barth 52 yard field goal good,1.090,3.000
2,14:56,,,TAM 35,3,3,"Connor Barth kicks off 60 yards, returned by Rod Smith for 26 yards (tackle by Keith Tandy)",0.000,-1.000
2,14:44,1,10,DAL 31,3,3,Matt Cassel pass complete short right to Lucky Whitehead for no gain,1.000,0.460
2,14:04,2,10,DAL 31,3,3,Darren McFadden left end for 7 yards (tackle by Jude Adjei-Barimah),0.460,0.700
2,13:28,3,3,DAL 38,3,3,Matt Cassel pass complete short left to Jason Witten for 24 yards (tackle by Chris Conte and Lavonte David),0.700,3.050
2,12:43,1,10,TAM 38,3,3,Darren McFadden middle for 6 yards (tackle by Danny Lansanah),3.050,3.320
2,12:04,2,4,TAM 32,3,3,Darren McFadden left guard for 1 yard (tackle by Howard Jones and Lavonte David),3.320,2.740
2,11:19,3,3,TAM 31,3,3,Darren McFadden left guard for -4 yards (tackle by Howard Jones),2.740,0.970
2,10:41,4,7,TAM 35,6,3,Dan Bailey 53 yard field goal good,0.970,3.000
2,10:41,,,DAL 35,6,3,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.280
2,10:34,1,10,TAM 20,6,3,"Jameis Winston pass incomplete deep left intended for Mike Evans. Penalty on Morris Claiborne: Defensive Pass Interference, 45 yards (no play)",0.280,3.250
2,10:26,1,10,DAL 35,6,3,"Penalty on Donovan Smith: False Start, 5 yards (no play)",3.250,2.920
2,10:26,1,15,DAL 40,6,3,Charles Sims right guard for 3 yards (tackle by Demarcus Lawrence and Nick Hayden),2.920,2.430
2,9:43,2,12,DAL 37,6,3,Jameis Winston pass incomplete deep right intended for Charles Sims,2.430,1.750
2,9:35,3,12,DAL 37,6,3,"Jameis Winston pass incomplete short middle intended for Mike Evans. Penalty on J.J. Wilcox: Illegal Contact, 5 yards (no play)",1.750,3.450
2,9:28,1,10,DAL 32,6,3,Charles Sims right end for 3 yards (tackle by Kyle Wilber and Tyrone Crawford),3.450,3.310
2,9:28,2,7,DAL 29,6,3,"Penalty on Donovan Smith: False Start, 5 yards (no play)",3.310,2.630
2,8:34,2,12,DAL 34,6,3,Jameis Winston pass complete short right to Brandon Myers for 6 yards (tackle by Barry Church),2.630,2.740
2,8:00,3,6,DAL 28,6,3,Jameis Winston pass incomplete short right intended for Mike Evans (defended by Brandon Carr),2.740,1.610
2,7:52,4,6,DAL 28,6,3,Connor Barth 46 yard field goal no good,1.610,-1.330
2,7:47,1,10,DAL 36,6,3,Christine Michael right tackle for 4 yards (tackle by Gerald McCoy and George Johnson),1.330,1.330
2,7:09,2,6,DAL 40,6,3,Matt Cassel pass complete short middle to Dez Bryant for 16 yards (tackle by Bradley McDougald),1.330,2.650
2,6:32,1,10,TAM 44,6,3,Christine Michael left guard for 2 yards (tackle by William Gholston and Lavonte David),2.650,2.380
