Unnamed: 0,DAL,TAM
First Downs,12,23
Rush-Yds-TDs,21-42-0,26-84-1
Cmp-Att-Yd-TD-INT,19-29-186-0-1,22-39-264-0-2
Sacked-Yards,3-12,2-18
Net Pass Yards,174,246
Total Yards,216,330
Fumbles-Lost,1-0,1-0
Turnovers,1,2
Penalties-Yards,6-68,7-62
Third Down Conv.,4-13,4-11
Fourth Down Conv.,0-0,0-0
Time of Possession,30:04,29:56
