Quarter,Time,Tm,Detail,DAL,TAM
1.0,3:55,Cowboys,Dan Bailey 42 yard field goal,3,0
2.0,14:51,Buccaneers,Connor Barth 52 yard field goal,3,3
,10:34,Cowboys,Dan Bailey 53 yard field goal,6,3
4.0,0:54,Buccaneers,Jameis Winston 1 yard rush (Connor Barth kick),6,10
