Quarter,Time,Down,ToGo,Location,ATL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Graham Gano kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,ATL 25,0,0,Matt Ryan pass complete short left to Julio Jones for 5 yards (tackle by James Bradberry),0.610,0.740
1,14:29,2,5,ATL 30,0,0,Devonta Freeman right end for 9 yards (tackle by Thomas Davis),0.740,1.530
1,14:01,1,10,ATL 39,0,0,Devonta Freeman middle for 4 yards (tackle by Kawann Short and Thomas Davis),1.530,1.530
1,13:29,2,6,ATL 43,0,0,Matt Ryan pass complete short left to Devonta Freeman for 6 yards (tackle by Thomas Davis),1.530,2.190
1,12:49,1,10,ATL 49,0,0,Tevin Coleman left tackle for 3 yards (tackle by Tre Boston),2.190,2.050
1,12:08,2,7,CAR 48,0,0,Matt Ryan pass complete short right to Levine Toilolo for 10 yards (tackle by Leonard Johnson),2.050,3.050
1,11:31,1,10,CAR 38,0,0,Matt Ryan pass complete short left to Tevin Coleman for 12 yards (tackle by Leonard Johnson),3.050,3.840
1,11:05,1,10,CAR 26,6,0,"Matt Ryan pass complete deep left to Joshua Perkins for 26 yards, touchdown",3.840,7.000
1,10:57,,,CAR 15,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,10:57,,,ATL 35,7,0,"Matthew Bosher kicks off 63 yards, returned by Fozzy Whittaker for 37 yards (tackle by Matthew Bosher)",0.000,-1.530
1,10:50,1,10,CAR 39,7,0,Cam Newton pass incomplete short middle intended for Greg Olsen (defended by Deion Jones),1.530,0.990
1,10:44,2,10,CAR 39,7,0,Jonathan Stewart middle for -2 yards (tackle by Courtney Upshaw),0.990,0.040
1,10:11,3,12,CAR 37,7,0,Cam Newton pass complete short middle to Kelvin Benjamin for 11 yards (tackle by Jalen Collins),0.040,-0.190
1,9:21,4,1,CAR 48,7,0,Jonathan Stewart right guard for 2 yards (tackle by Deion Jones),-0.190,2.260
1,8:38,1,10,,7,0,Cam Newton pass incomplete deep left intended for Ed Dickson is intercepted by Brian Poole at ATL-32 and returned for 24 yards,2.260,-2.650
1,8:27,1,10,CAR 44,7,0,Matt Ryan pass complete deep right to Julio Jones for 16 yards (tackle by Tre Boston),2.650,3.710
1,7:52,1,10,CAR 28,7,0,Devonta Freeman left tackle for -5 yards (tackle by Mario Addison),3.710,2.490
1,7:18,2,15,CAR 33,7,0,"Matt Ryan pass complete short middle to Devonta Freeman for 9 yards (tackle by Shaq Thompson). Penalty on Joshua Perkins: Unnecessary Roughness, 15 yards",2.490,1.020
1,6:54,3,21,CAR 39,7,0,Matt Ryan pass complete short right to Taylor Gabriel for 7 yards (tackle by Shaq Thompson),1.020,1.240
1,6:14,4,14,CAR 32,10,0,Matt Bryant 51 yard field goal good,1.240,3.000
1,6:09,,,ATL 35,10,0,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.610
1,6:09,1,10,CAR 25,10,0,Jonathan Stewart left guard for 4 yards (tackle by Deion Jones and Grady Jarrett),0.610,0.600
1,5:36,2,6,CAR 29,10,0,Cam Newton pass incomplete short right intended for Ted Ginn,0.600,-0.100
1,5:31,3,6,CAR 29,10,0,Cam Newton left end for 5 yards (tackle by Vic Beasley),-0.100,-1.110
1,4:48,4,1,CAR 34,10,0,"Michael Palardy punts 51 yards, returned by Eric Weems for 11 yards (tackle by David Mayo)",-1.110,-0.670
1,4:38,1,10,ATL 26,10,0,"Matt Ryan pass incomplete deep right intended for Julio Jones (defended by James Bradberry). Penalty on James Bradberry: Defensive Holding, 5 yards (no play)",0.670,1.000
1,4:31,1,10,ATL 31,10,0,Tevin Coleman right end for 8 yards (tackle by Tre Boston),1.000,1.540
1,3:58,2,2,ATL 39,10,0,Matt Ryan pass complete short middle to Aldrick Robinson for 15 yards (tackle by Thomas Davis),1.540,2.520
