Quarter,Time,Tm,Detail,ATL,CAR
1.0,10:57,Falcons,Joshua Perkins 26 yard pass from Matt Ryan (Matt Bryant kick),7,0
,6:09,Falcons,Matt Bryant 51 yard field goal,10,0
,0:35,Falcons,Matt Bryant 48 yard field goal,13,0
2.0,10:17,Panthers,Graham Gano 31 yard field goal,13,3
,5:34,Falcons,D.J. Tialavea 1 yard pass from Matt Ryan (Matt Bryant kick),20,3
3.0,9:23,Panthers,Graham Gano 40 yard field goal,20,6
,3:34,Falcons,Matt Bryant 29 yard field goal,23,6
,0:00,Panthers,Kelvin Benjamin 26 yard pass from Cam Newton (Graham Gano kick),23,13
4.0,13:19,Falcons,Tevin Coleman 55 yard rush (Matt Bryant kick),30,13
,9:43,Panthers,Graham Gano 31 yard field goal,30,16
,1:55,Falcons,Matt Bryant 50 yard field goal,33,16
