Unnamed: 0,ATL,CAR
First Downs,21,17
Rush-Yds-TDs,24-152-1,23-119-0
Cmp-Att-Yd-TD-INT,27-33-277-2-0,18-43-198-1-2
Sacked-Yards,4-21,2-15
Net Pass Yards,256,183
Total Yards,408,302
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,6-45,4-24
Third Down Conv.,6-14,4-15
Fourth Down Conv.,0-0,3-4
Time of Possession,32:45,27:15
