Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Danny Boyd kicks off 60 yards, returned by Troy Walters for 44 yards (tackle by Kiwaukee Thomas)",0.000,2.520
1,14:53,1,10,JAX 46,0,0,Edgerrin James middle for 8 yards (tackle by Marco Coleman and Wali Rainer),2.520,3.060
1,14:16,2,2,JAX 38,0,0,Edgerrin James middle for 1 yard (tackle by John Henderson),3.060,2.480
1,14:16,3,1,JAX 37,0,0,James Mungro left end for -1 yards (tackle by T.J. Slaughter),2.480,0.720
1,12:50,4,2,JAX 38,0,0,Hunter Smith punts 29 yards,0.720,0.380
1,12:40,1,10,JAX 9,0,0,Fred Taylor middle for 7 yards (tackle by Sam Sword),-0.380,-0.160
1,12:03,2,3,JAX 16,0,0,David Garrard pass complete to Pete Mitchell for 6 yards (tackle by Sam Sword),-0.160,0.410
1,11:19,1,10,JAX 22,0,0,Fred Taylor left end for 5 yards (tackle by Josh Williams and Clifton Crosby),0.410,0.540
1,10:41,2,5,JAX 27,0,0,"Fred Taylor middle for 7 yards (tackle by Nick Harper). Penalty on Dan Alexander: Offensive Holding, 10 yards (no play)",0.540,-0.940
1,10:17,2,15,JAX 17,0,0,Jimmy Smith left end for 2 yards (tackle by Josh Williams). Penalty on John Wade: Clipping (Declined),-0.940,-1.290
1,9:51,3,13,JAX 19,0,0,David Garrard pass complete to Fred Taylor for 14 yards (tackle by Rob Morris and Brian Leigeb),-1.290,1.140
1,9:23,1,10,JAX 33,0,0,David Garrard right end for 2 yards (tackle by Mike Peterson and Josh Williams),1.140,0.860
1,8:44,2,8,JAX 35,0,0,Fred Taylor middle for 12 yards (tackle by David Gibson and David Macklin),0.860,2.060
1,8:06,1,10,JAX 47,0,0,David Garrard sacked by David Gibson for -11 yards,2.060,0.030
1,7:34,2,21,JAX 36,0,0,David Garrard pass incomplete intended for Kyle Brady (defended by Chad Bratzke),0.030,-0.620
1,7:31,3,21,JAX 36,0,0,David Garrard left end for 3 yards (tackle by Josh Mallard),-0.620,-0.780
1,6:56,4,18,JAX 39,0,0,"Chris Hanson punts 48 yards, returned by Troy Walters for no gain, lateral to Clifton Crosby for 6 yards (tackle by Akin Ayodele)",-0.780,-0.150
1,6:44,1,10,IND 19,0,0,"Penalty on Marcus Pollard: False Start, 5 yards (no play)",0.150,-0.390
1,6:44,1,15,IND 14,0,0,Peyton Manning pass complete to Marvin Harrison for 4 yards (tackle by Fernando Bryant),-0.390,-0.560
1,6:09,2,11,IND 18,0,0,Peyton Manning pass incomplete intended for Marvin Harrison (defended by Fernando Bryant),-0.560,-1.250
1,6:04,3,11,IND 18,0,0,Edgerrin James left tackle for 5 yards (tackle by Marcus Stroud),-1.250,-1.830
1,5:21,4,6,IND 23,0,0,"Hunter Smith punts 39 yards, returned by Bobby Shaw for 10 yards (tackle by Brian Leigeb)",-1.830,-2.130
1,5:09,1,10,JAX 48,0,0,David Garrard pass complete to Jimmy Smith for 4 yards (tackle by Nick Harper),2.130,2.120
1,4:32,2,6,IND 48,0,0,David Garrard left end for 8 yards (tackle by Mike Peterson),2.120,2.920
1,4:08,1,10,IND 40,0,0,David Garrard pass complete to Kyle Brady for 14 yards (tackle by David Macklin),2.920,3.840
1,3:28,1,10,IND 26,0,0,Fred Taylor middle for 12 yards (tackle by David Gibson and David Macklin),3.840,4.650
1,2:48,1,10,IND 14,0,0,David Garrard pass incomplete intended for Jimmy Smith (defended by Chad Bratzke),4.650,4.000
1,2:48,2,10,IND 14,0,0,David Garrard pass incomplete intended for Bobby Shaw (defended by David Gibson),4.000,3.110
1,2:42,3,10,IND 14,0,0,David Garrard left end for no gain (tackle by David Macklin),3.110,2.510
1,2:42,4,10,IND 14,3,0,Danny Boyd 32 yard field goal good,2.510,3.000
1,2:42,,,JAX 30,3,0,"Danny Boyd kicks off 58 yards, returned by Troy Walters for 15 yards (tackle by Elvis Joseph)",0.000,0.740
1,1:52,1,10,IND 27,3,0,Peyton Manning pass complete to Reggie Wayne for 15 yards (tackle by Jason Craft),0.740,1.730
1,1:21,1,10,IND 42,3,0,Edgerrin James left tackle for 9 yards (tackle by Marlon McCree and Danny Clark),1.730,2.400
1,0:47,2,1,JAX 49,3,0,James Mungro middle for 2 yards (tackle by John Henderson),2.400,2.460
1,0:08,1,10,JAX 47,3,0,Peyton Manning pass complete to Marcus Pollard for 11 yards (tackle by Danny Clark),2.460,3.180
Quarter,Time,Down,ToGo,Location,JAX,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,JAX 36,3,0,Edgerrin James middle for 17 yards (tackle by Fernando Bryant),3.180,4.310
2,14:24,1,10,JAX 19,3,0,Peyton Manning pass complete to Marcus Pollard for 5 yards (tackle by Marlon McCree and T.J. Slaughter),4.310,4.530
2,13:38,2,5,JAX 14,3,0,Edgerrin James right tackle for 6 yards (tackle by Marco Coleman),4.530,5.370
2,12:52,1,8,JAX 8,3,0,James Mungro right tackle for 3 yards (tackle by Fernando Bryant),5.370,5.150
2,12:07,2,5,JAX 5,3,0,James Mungro middle for 3 yards (tackle by Danny Clark and Marcus Stroud),5.150,4.950
2,11:23,3,2,JAX 2,3,0,Peyton Manning pass incomplete intended for Marcus Pollard,4.950,3.250
