Unnamed: 0,JAX,IND
First Downs,20,18
Rush-Yds-TDs,33-154-1,29-126-1
Cmp-Att-Yd-TD-INT,13-26-135-0-0,20-28-146-1-0
Sacked-Yards,3-23,0-0
Net Pass Yards,112,146
Total Yards,266,272
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,6-47,6-35
Third Down Conv.,6-13,5-13
Fourth Down Conv.,0-1,1-1
Time of Possession,29:29,30:31
