Quarter,Time,Tm,Detail,JAX,IND
1.0,1:58,Jaguars,Danny Boyd 32 yard field goal,3,0
2.0,11:11,Colts,Mike Vanderjagt 19 yard field goal,3,3
,4:53,Jaguars,Fred Taylor 9 yard rush (Danny Boyd kick),10,3
,0:18,Colts,James Mungro 1 yard rush (Mike Vanderjagt kick),10,10
4.0,13:55,Jaguars,Danny Boyd 23 yard field goal,13,10
,5:46,Colts,Mike Vanderjagt 27 yard field goal,13,13
,2:26,Colts,Marcus Pollard 11 yard pass from Peyton Manning (Mike Vanderjagt kick),13,20
