Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Bill Gramatica kicks off 64 yards, returned by Terrence Wilkins for 26 yards (tackle by Michael Young). Penalty on Jamie Duncan: Illegal Block Above the Waist, 10 yards",0.000,-0.380
1,14:32,1,10,STL 10,0,0,Marshall Faulk right end for 4 yards (tackle by Duane Starks),-0.380,-0.460
1,14:15,2,6,STL 14,0,0,Ernie Conwell right tackle for 15 yards (tackle by Ronald McKinnon),-0.460,0.870
1,13:43,1,10,STL 29,0,0,Marc Bulger pass incomplete intended for Isaac Bruce (defended by Duane Starks),0.870,0.330
1,13:36,2,10,STL 29,0,0,Marc Bulger pass complete to Marshall Faulk for 40 yards (tackle by Kwamie Lassiter and Justin Lucas),0.330,3.510
1,12:51,1,10,ARI 31,0,0,Marc Bulger pass complete to Marshall Faulk for -3 yards (tackle by Raynoch Thompson),3.510,2.560
1,12:07,2,13,ARI 34,0,0,Marshall Faulk left tackle for 3 yards (tackle by Russell Davis and Raynoch Thompson),2.560,2.280
1,11:25,3,10,ARI 31,6,0,"Marc Bulger pass complete to Ricky Proehl for 31 yards, touchdown",2.280,7.000
1,11:25,,,ARI 31,7,0,Jeff Wilkins kicks extra point good,0.000,0.000
1,11:25,,,STL 30,7,0,"Jeff Wilkins kicks off 73 yards, returned by MarTay Jenkins for 22 yards (tackle by Trung Canidate)",0.000,0.150
1,11:18,1,10,ARI 19,7,0,Thomas Jones middle for 5 yards (tackle by Adam Archuleta and Jeff Zgonina),0.150,0.340
1,10:27,2,5,ARI 24,7,0,Thomas Jones left guard for no gain (tackle by Grant Wistrom and Ryan Pickett),0.340,-0.420
1,9:51,3,5,ARI 24,7,0,Jake Plummer pass incomplete intended for Freddie Jones,-0.420,-1.770
1,9:47,4,5,ARI 24,7,0,"Scott Player punts 39 yards, fair catch by Terrence Wilkins",-1.770,-1.400
1,9:38,1,10,STL 37,7,0,Marshall Faulk right end for 6 yards (tackle by Duane Starks),1.400,1.670
1,8:57,2,4,STL 43,7,0,"Marshall Faulk left end for 5 yards (tackle by Adrian Wilson). Penalty on Torry Holt: Offensive Holding, 10 yards",1.670,0.990
1,8:23,2,9,STL 38,7,0,Marc Bulger pass complete to Isaac Bruce for 11 yards (tackle by Duane Starks),0.990,2.190
1,7:55,1,10,STL 49,7,0,"Penalty on Ernie Conwell: False Start, 5 yards (no play)",2.190,1.860
1,7:31,1,15,STL 44,7,0,Marc Bulger pass complete to Ernie Conwell for 12 yards (tackle by David Barrett),1.860,2.590
1,7:01,2,3,ARI 44,7,0,Marshall Faulk right guard for 14 yards (tackle by Duane Starks),2.590,3.580
1,6:16,1,10,ARI 30,7,0,Marc Bulger sacked by Raynoch Thompson and Dennis Johnson for -11 yards,3.580,1.550
1,5:41,2,21,ARI 41,7,0,Marc Bulger pass complete to James Hodgins for 3 yards (tackle by Duane Starks),1.550,1.290
1,4:55,3,18,ARI 38,7,0,Marc Bulger pass complete to Ernie Conwell for 9 yards (tackle by Coby Rhinehart),1.290,1.500
1,4:15,4,9,ARI 29,7,0,Jeff Wilkins 47 yard field goal no good,1.500,-1.400
1,4:09,1,10,ARI 37,7,0,Jake Plummer pass complete to Frank Sanders for 7 yards (tackle by Travis Fisher and Don Davis),1.400,1.800
1,3:37,2,3,ARI 44,7,0,Thomas Jones right end for 2 yards (tackle by Travis Fisher and Tommy Polley),1.800,1.360
1,2:56,3,1,ARI 46,7,0,Thomas Jones left tackle for 4 yards (tackle by Jamie Duncan and Don Davis),1.360,2.260
1,2:19,1,10,,7,0,Jake Plummer pass complete to Steve Bush for 2 yards (tackle by Don Davis and Dre' Bly),2.260,1.980
1,1:36,2,8,STL 48,7,0,Thomas Jones left guard for 1 yard (tackle by Ryan Pickett),1.980,1.420
1,0:57,3,7,STL 47,7,0,Jake Plummer pass incomplete is intercepted by Kim Herring at STL-35 and returned for 36 yards,1.420,-3.640
1,0:44,1,10,ARI 29,7,0,Marshall Faulk left tackle for 14 yards (tackle by Adrian Wilson and Russell Davis),3.640,4.580
Quarter,Time,Down,ToGo,Location,STL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 15,7,0,Marc Bulger pass complete to Marshall Faulk for 4 yards (tackle by Ronald McKinnon),4.580,4.640
2,14:22,2,6,ARI 11,7,0,Marshall Faulk right end for no gain (tackle by Duane Starks),4.640,3.780
2,13:54,3,6,ARI 11,7,0,Marshall Faulk left guard for 5 yards (tackle by Kwamie Lassiter and Raynoch Thompson),3.780,3.020
2,13:14,4,1,ARI 6,10,0,Jeff Wilkins 24 yard field goal good,3.020,3.000
2,13:14,,,STL 30,10,0,"Jeff Wilkins kicks off 57 yards, returned by Marcel Shipp for 17 yards (tackle by Jamie Duncan)",0.000,0.940
2,13:04,1,10,ARI 30,10,0,Thomas Jones left tackle for 2 yards (tackle by Tommy Polley),0.940,0.660
2,12:30,2,8,ARI 32,10,0,Thomas Jones left tackle for 1 yard (tackle by Jeff Zgonina and Travis Fisher),0.660,0.100
2,11:48,3,7,ARI 33,10,0,Jake Plummer pass complete to Frank Sanders for 35 yards (tackle by Kim Herring),0.100,3.450
2,11:17,1,10,STL 32,10,0,Jake Plummer pass complete to Frank Sanders for 7 yards (tackle by Don Davis),3.450,3.850
2,10:33,2,3,STL 25,10,0,Thomas Jones left guard for 1 yard (tackle by Don Davis and Jamie Duncan),3.850,3.270
2,9:49,3,2,STL 24,10,0,Jake Plummer for 5 yards (tackle by Travis Fisher),3.270,4.310
2,9:14,1,10,STL 19,10,0,"Jake Plummer for no gain. Jake Plummer fumbles, recovered by Tommy Polley at STL-19",4.310,-0.150
2,9:09,1,10,STL 19,10,0,Marshall Faulk right end for 11 yards (tackle by Kwamie Lassiter),0.150,0.940
2,8:24,1,10,STL 30,10,0,Trung Canidate right tackle for no gain (tackle by Rob Fredrickson),0.940,0.390
2,7:51,2,10,STL 30,10,0,Trung Canidate left tackle for 3 yards (tackle by Raynoch Thompson),0.390,0.100
2,7:23,3,7,STL 33,10,0,Marc Bulger pass complete to Ricky Proehl for 12 yards (tackle by David Barrett),0.100,1.930
2,6:44,1,10,STL 45,10,0,Marc Bulger pass complete to Isaac Bruce for 11 yards (tackle by Duane Starks). Penalty on Wendell Bryant: Defensive Offside (Declined),1.930,2.650
2,6:21,1,10,ARI 44,10,0,Marc Bulger pass incomplete intended for Isaac Bruce is intercepted by Duane Starks at ARI-28 and returned for 3 yards,2.650,-1.000
2,6:14,1,10,ARI 31,10,0,Jake Plummer pass complete to Freddie Jones for 15 yards (tackle by Travis Fisher and Ryan Pickett),1.000,1.990
,,,,,,,"ARI challenged the ruling, and the original play was overturned.",,
2,6:09,1,10,ARI 46,10,0,"Jake Plummer pass complete to Marcel Shipp for 9 yards (tackle by James Whitley and Ryan Pickett). Penalty on Leonard Little: Roughing the Passer, 15 yards",1.990,3.580
2,5:35,1,10,STL 30,10,0,Marcel Shipp middle for 3 yards (tackle by Brian Young and Kim Herring),3.580,3.440
2,5:00,2,7,STL 27,10,0,Jake Plummer sacked by James Whitley for -7 yards,3.440,1.820
2,4:38,3,14,STL 34,10,0,Jake Plummer pass complete to David Boston for 14 yards (tackle by James Whitley),1.820,4.240
2,3:57,1,10,STL 20,10,0,Marcel Shipp left guard for 11 yards (tackle by Brian Young),4.240,5.140
2,3:16,1,9,STL 9,10,0,Marcel Shipp left tackle for 1 yard (tackle by Jamie Duncan and Brian Young),5.140,4.570
