Quarter,Time,Tm,Detail,DAL,ARI
1,10:50,Cardinals,Bill Gramatica 41 yard field goal,0,3
2,0:00,Cardinals,Bill Gramatica 23 yard field goal,0,6
3,7:50,Cowboys,Antonio Bryant 78 yard pass from Quincy Carter (Billy Cundiff kick failed),6,6
OT,3:10,Cardinals,Bill Gramatica 40 yard field goal,6,9
