Unnamed: 0,DAL,ARI
First Downs,14,22
Rush-Yds-TDs,36-148-0,38-152-0
Cmp-Att-Yd-TD-INT,13-22-202-1-4,23-46-232-0-0
Sacked-Yards,2-8,1-4
Net Pass Yards,194,228
Total Yards,342,380
Fumbles-Lost,1-0,1-1
Turnovers,4,1
Penalties-Yards,6-59,2-15
Third Down Conv.,2-12,9-21
Fourth Down Conv.,0-0,0-0
Time of Possession,30:57,40:53
