Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Micah Knorr kicks off 72 yards, returned by MarTay Jenkins for 37 yards (tackle by Micah Knorr)",0.000,1.270
1,14:32,1,10,ARI 35,0,0,Jake Plummer pass complete to MarTay Jenkins for 6 yards (tackle by Dexter Coakley),1.270,1.530
1,14:18,2,4,ARI 41,0,0,Thomas Jones left end for 2 yards (tackle by Ebenezer Ekuban),1.530,1.090
1,13:39,3,2,ARI 43,0,0,Jake Plummer middle for 14 yards (tackle by Kevin Hardy and Randal Williams),1.090,2.720
1,12:55,1,10,DAL 43,0,0,Jake Plummer pass incomplete intended for Thomas Jones,2.720,2.180
1,12:51,2,10,DAL 43,0,0,Thomas Jones right end for 9 yards (tackle by Darren Woodson),2.180,2.680
1,12:23,3,1,DAL 34,0,0,Jake Plummer pass complete to Frank Sanders for 7 yards (tackle by Darren Woodson),2.680,3.780
1,11:56,1,10,DAL 27,0,0,Jake Plummer pass incomplete intended for Frank Sanders,3.780,3.230
1,11:51,2,10,DAL 27,0,0,Thomas Jones left tackle for 4 yards (tackle by Kevin Hardy and Greg Ellis),3.230,3.070
1,10:59,3,6,DAL 23,0,0,Jake Plummer pass incomplete intended for Freddie Jones,3.070,1.950
1,10:55,4,6,DAL 23,0,3,Bill Gramatica 41 yard field goal good,1.950,3.000
1,10:55,,,ARI 30,0,3,"Bill Gramatica kicks off 59 yards, returned by Reggie Swinton for 23 yards (tackle by LeVar Woods)",0.000,1.200
1,10:45,1,10,DAL 34,0,3,Quincy Carter sacked by Adrian Wilson for -6 yards,1.200,-0.150
1,10:18,1,10,DAL 34,,,Timeout #1 by Arizona Cardinals,1.200,-0.150
1,10:18,2,16,DAL 28,0,3,Quincy Carter pass incomplete intended for Antonio Bryant is intercepted by Adrian Wilson at ARI-31,-0.150,-1.000
1,10:10,1,10,ARI 31,0,3,MarTay Jenkins right end for 5 yards (tackle by Greg Ellis),1.000,1.140
1,9:24,2,5,ARI 36,0,3,Jake Plummer pass incomplete intended for Freddie Jones,1.140,0.430
1,9:17,3,5,ARI 36,0,3,Jake Plummer pass incomplete intended for MarTay Jenkins (defended by Greg Ellis),0.430,-0.980
1,9:14,4,5,ARI 36,0,3,"Scott Player punts 46 yards, fair catch by Reggie Swinton",-0.980,-0.040
1,9:07,1,10,DAL 18,0,3,"Quincy Carter for no gain. Quincy Carter fumbles, recovered by Emmitt Smith at DAL-10",0.040,-1.360
1,8:36,2,18,DAL 10,0,3,Quincy Carter pass complete to Troy Hambrick for 5 yards (tackle by Rob Fredrickson),-1.360,-1.660
1,7:58,3,13,DAL 15,0,3,Quincy Carter pass incomplete intended for Michael Wiley,-1.660,-2.440
1,7:53,4,13,DAL 15,0,3,"Penalty on Louis Mackey: False Start, 5 yards (no play)",-2.440,-2.490
1,7:53,4,18,DAL 10,0,3,"Micah Knorr punts 48 yards, returned by Arnold Jackson for 15 yards (tackle by Peppi Zellner)",-2.490,-2.720
1,7:37,1,10,DAL 43,0,3,Thomas Jones right end for 4 yards (tackle by Darren Woodson),2.720,2.720
1,6:58,2,6,DAL 39,0,3,Thomas Jones right end for 3 yards (tackle by Dexter Coakley),2.720,2.410
1,6:15,3,3,DAL 36,0,3,Jake Plummer pass complete to Freddie Jones for 2 yards (tackle by Randal Williams),2.410,1.100
1,5:40,4,1,DAL 34,0,3,Bill Gramatica 53 yard field goal no good,1.100,-1.800
1,5:35,1,10,DAL 43,0,3,Emmitt Smith right tackle for 12 yards (tackle by Kwamie Lassiter and David Barrett),1.800,2.590
1,5:05,1,10,ARI 45,0,3,Emmitt Smith right guard for 3 yards (tackle by Tom Burke and Adrian Wilson),2.590,2.450
1,4:33,2,7,ARI 42,0,3,Quincy Carter pass complete to Antonio Bryant for 6 yards (tackle by Renaldo Hill),2.450,2.540
1,4:33,3,1,ARI 36,0,3,Robert Thomas right guard for 1 yard (tackle by Ronald McKinnon and Fred Wakefield),2.540,3.250
1,3:35,1,10,ARI 35,0,3,Quincy Carter pass complete to Antonio Bryant for 12 yards (tackle by Renaldo Hill),3.250,4.040
1,2:57,1,10,ARI 23,0,3,Emmitt Smith left tackle for 6 yards (tackle by Adrian Wilson),4.040,4.380
1,2:23,2,4,ARI 17,0,3,Emmitt Smith left guard for 3 yards (tackle by Rob Fredrickson and Raynoch Thompson),4.380,4.280
1,1:41,3,1,ARI 14,0,3,Quincy Carter pass incomplete intended for Antonio Bryant is intercepted by Renaldo Hill at ARI-0 and returned for 3 yards,4.280,0.380
1,1:35,1,10,ARI 3,0,3,Thomas Jones right tackle for 1 yard (tackle by Markus Steele and Dexter Coakley),-0.380,-0.710
1,0:59,2,9,ARI 4,0,3,Thomas Jones left guard for 4 yards (tackle by Michael Myers),-0.710,-0.840
1,0:14,2,9,ARI 4,,,Timeout #2 by Arizona Cardinals,-0.710,-0.840
1,0:14,3,5,ARI 8,0,3,Jake Plummer pass complete to MarTay Jenkins for 7 yards,-0.840,-0.220
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 15,0,3,Jake Plummer pass incomplete intended for Thomas Jones,-0.220,-0.710
2,14:57,2,10,ARI 15,0,3,Thomas Jones middle for 2 yards (tackle by Greg Ellis),-0.710,-1.120
2,14:11,3,8,ARI 17,0,3,Jake Plummer pass complete to David Boston for 21 yards (tackle by Keith Davis),-1.120,1.470
2,13:42,1,10,ARI 38,0,3,Jake Plummer pass incomplete intended for Dennis McKinley,1.470,0.920
2,13:38,2,10,ARI 38,0,3,Jake Plummer pass complete to Frank Sanders for 8 yards (tackle by Duane Hawthorne),0.920,1.290
2,12:56,3,2,ARI 46,0,3,Thomas Jones right end for 1 yard (tackle by Brandon Noble and Duane Hawthorne),1.290,-0.260
2,12:16,4,1,ARI 47,0,3,Scott Player punts 48 yards,-0.260,0.380
2,12:05,1,10,DAL 6,0,3,Emmitt Smith right guard for 4 yards (tackle by Marcus Bell and Ronald McKinnon),-0.380,-0.490
2,11:26,2,6,DAL 10,0,3,Quincy Carter pass complete to Darnay Scott for 11 yards (tackle by Coby Rhinehart),-0.490,0.340
2,10:51,1,10,DAL 21,0,3,Emmitt Smith left end for 2 yards (tackle by Russell Davis),0.340,0.070
2,10:14,2,8,DAL 23,0,3,Quincy Carter pass complete to Darnay Scott for 14 yards (tackle by Coby Rhinehart),0.070,1.400
2,9:35,1,10,DAL 37,0,3,Emmitt Smith right tackle for no gain (tackle by Rob Fredrickson and Russell Davis),1.400,0.860
2,8:54,2,10,DAL 37,0,3,Quincy Carter right tackle for 4 yards,0.860,0.700
2,8:07,3,6,DAL 41,0,3,Quincy Carter pass complete to James Whalen for 5 yards (tackle by Renaldo Hill),0.700,-0.320
2,7:20,4,1,DAL 46,0,3,Micah Knorr punts 25 yards,-0.320,-0.870
2,7:11,1,10,ARI 29,0,3,Jake Plummer pass incomplete intended for David Boston (defended by Mario Edwards),0.870,0.330
2,7:06,2,10,ARI 29,0,3,Jake Plummer pass incomplete intended for Steve Bush (defended by Darren Woodson),0.330,-0.360
2,7:03,3,10,ARI 29,0,3,Jake Plummer pass complete to David Boston for 23 yards (tackle by Tony Dixon),-0.360,2.390
2,6:22,1,10,DAL 48,0,3,Jake Plummer pass incomplete intended for MarTay Jenkins (defended by Duane Hawthorne),2.390,1.850
2,6:14,2,10,DAL 48,0,3,Marcel Shipp right tackle for no gain (tackle by La'Roi Glover and Greg Ellis),1.850,1.160
2,5:30,3,10,DAL 48,0,3,Jake Plummer pass incomplete intended for Marcel Shipp,1.160,0.070
2,5:26,4,10,DAL 48,0,3,Scott Player punts 46 yards,0.070,0.380
,,,,,,,"DAL challenged the ruling, and the play was upheld.",,
2,5:15,1,10,DAL 2,0,3,Quincy Carter pass incomplete intended for Antonio Bryant,-0.380,-0.780
2,5:12,2,10,DAL 2,0,3,Emmitt Smith right end for 6 yards (tackle by Adrian Wilson and Ronald McKinnon),-0.780,-0.720
2,4:34,3,4,DAL 8,0,3,"Penalty on Javier Collins: False Start, 4 yards (no play)",-0.720,-1.190
2,4:23,3,8,DAL 4,0,3,Quincy Carter pass incomplete intended for Joey Galloway,-1.190,-2.490
2,4:18,4,8,DAL 4,0,3,"Micah Knorr punts 41 yards, returned by Kwamie Lassiter for 4 yards (tackle by Dexter Coakley)",-2.490,-2.850
2,4:07,1,10,DAL 41,0,3,Thomas Jones left guard for 4 yards (tackle by Dexter Coakley),2.850,2.850
2,3:35,2,6,DAL 37,0,3,Thomas Jones left guard for 1 yard (tackle by Randal Williams and La'Roi Glover),2.850,2.280
2,3:35,3,5,DAL 36,0,3,Jake Plummer middle for 19 yards,2.280,4.440
2,2:09,1,10,DAL 17,0,3,Thomas Jones right guard for 7 yards (tackle by Dexter Coakley),4.440,5.100
2,2:00,2,3,DAL 10,0,3,Thomas Jones left tackle for 2 yards (tackle by Dexter Coakley and John Nix),5.100,4.800
2,1:24,3,1,DAL 8,0,3,Thomas Jones left guard for 4 yards (tackle by Darren Woodson),4.800,6.280
2,0:44,1,4,DAL 4,0,3,Jake Plummer pass incomplete intended for Freddie Jones,6.280,5.340
2,0:37,2,4,DAL 4,0,3,Thomas Jones right tackle for -1 yards (tackle by Michael Myers),5.340,4.260
2,0:08,3,5,DAL 5,0,3,Jake Plummer pass incomplete intended for David Boston,4.260,3.010
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,0:03,4,5,DAL 5,0,6,Bill Gramatica 23 yard field goal good,3.010,3.000
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,0,6,"Bill Gramatica kicks off 68 yards, returned by Reggie Swinton for 20 yards (tackle by Don Morgan)",0.000,0.410
3,14:56,1,10,DAL 22,0,6,Quincy Carter left end for 1 yard,0.410,0.000
3,14:14,2,9,DAL 23,0,6,Emmitt Smith right tackle for 5 yards (tackle by Tom Burke),0.000,-0.030
3,13:28,3,4,DAL 28,0,6,Emmitt Smith right end for 1 yard (tackle by Renaldo Hill and Ronald McKinnon). Penalty on Tony McGee: Offensive Holding (Declined),-0.030,-1.440
3,13:11,4,3,DAL 29,0,6,"Micah Knorr punts 42 yards, returned by Arnold Jackson for 1 yard (tackle by Troy Hambrick)",-1.440,-0.940
3,12:58,1,10,ARI 30,0,6,Jake Plummer pass complete to David Boston for 13 yards (tackle by Duane Hawthorne),0.940,1.800
3,12:15,1,10,ARI 43,0,6,Thomas Jones right end for 1 yard (tackle by La'Roi Glover),1.800,1.390
3,11:34,2,9,ARI 44,0,6,Jake Plummer pass complete to David Boston for 16 yards,1.390,2.920
3,11:06,1,10,DAL 40,0,6,Thomas Jones left tackle for -1 yards (tackle by Markus Steele),2.920,2.240
3,10:23,2,11,DAL 41,0,6,Thomas Jones right tackle for 3 yards (tackle by Dexter Coakley and Darren Woodson),2.240,1.950
3,9:41,3,8,DAL 38,0,6,Jake Plummer sacked by Randal Williams for -4 yards,1.950,0.460
3,9:21,4,12,DAL 42,0,6,Scott Player punts 32 yards,0.460,0.380
3,9:12,1,10,DAL 10,0,6,Emmitt Smith left end for 7 yards (tackle by Rob Fredrickson and Raynoch Thompson),-0.380,-0.090
3,8:39,2,3,DAL 17,0,6,Emmitt Smith left tackle for 5 yards (tackle by Raynoch Thompson and Marcus Bell),-0.090,0.410
3,8:02,1,10,DAL 22,6,6,"Quincy Carter pass complete to Antonio Bryant for 78 yards, touchdown",0.410,7.000
3,8:02,,,ARI 22,6,6,Billy Cundiff kicks extra point no good,0.000,-1.000
3,8:02,,,DAL 30,6,6,"Micah Knorr kicks off 69 yards, returned by MarTay Jenkins for 30 yards (tackle by Markus Steele). Penalty on Justin Lucas: Offensive Holding, 10 yards",0.000,-0.220
3,7:38,1,10,ARI 15,6,6,Jake Plummer pass complete to Thomas Jones for 6 yards (tackle by Dexter Coakley),-0.220,0.210
3,7:06,2,4,ARI 21,6,6,Jake Plummer pass complete to MarTay Jenkins for 6 yards (tackle by Mario Edwards),0.210,0.740
