Unnamed: 0,MIN,CHI
First Downs,17,16
Rush-Yds-TDs,31-159-1,29-115-0
Cmp-Att-Yd-TD-INT,22-32-176-1-0,13-26-166-2-1
Sacked-Yards,4-35,1-7
Net Pass Yards,141,159
Total Yards,300,274
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,9-69,8-55
Third Down Conv.,6-15,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,31:24,28:36
