Unnamed: 0,CLE,PIT
First Downs,23,24
Rush-Yds-TDs,31-191-2,29-127-2
Cmp-Att-Yd-TD-INT,18-30-222-1-0,24-35-390-1-1
Sacked-Yards,3-24,3-14
Net Pass Yards,198,376
Total Yards,389,503
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,8-55,11-96
Third Down Conv.,2-11,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,27:33,32:27
