Quarter,Time,Tm,Detail,CLE,PIT
1.0,9:58,Steelers,Shaun Suisham 36 yard field goal,0,3
,5:39,Browns,Billy Cundiff 39 yard field goal,3,3
,0:50,Steelers,LeGarrette Blount 7 yard rush (Shaun Suisham kick),3,10
2.0,9:49,Steelers,Antonio Brown 35 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,17
,7:43,Steelers,Le'Veon Bell 38 yard rush (Shaun Suisham kick),3,24
,0:00,Steelers,Shaun Suisham 34 yard field goal,3,27
3.0,13:27,Browns,Isaiah Crowell 3 yard rush (Billy Cundiff kick),10,27
,9:05,Browns,Isaiah Crowell 15 yard rush (Billy Cundiff kick),17,27
4.0,14:57,Browns,Billy Cundiff 25 yard field goal,20,27
,11:15,Browns,Travis Benjamin 9 yard pass from Brian Hoyer (Billy Cundiff kick),27,27
,0:00,Steelers,Shaun Suisham 41 yard field goal,27,30
