Quarter,Time,Tm,Detail,TAM,OAK
1.0,0:45,Raiders,Sebastian Janikowski 29 yard field goal,0,3
2.0,12:54,Buccaneers,Vincent Jackson 20 yard pass from Josh Freeman (Connor Barth kick),7,3
,1:20,Raiders,Rod Streater 25 yard pass from Carson Palmer (Sebastian Janikowski kick),7,10
3.0,12:09,Buccaneers,Doug Martin 45 yard rush (Connor Barth kick),14,10
,7:12,Buccaneers,Mike Williams 4 yard pass from Josh Freeman (Connor Barth kick),21,10
,2:15,Buccaneers,Doug Martin 67 yard rush (Connor Barth kick),28,10
4.0,14:11,Raiders,Brandon Myers 4 yard pass from Carson Palmer (Sebastian Janikowski kick),28,17
,13:51,Buccaneers,Doug Martin 70 yard rush (Connor Barth kick),35,17
,9:48,Raiders,Brandon Myers 1 yard pass from Carson Palmer (Sebastian Janikowski kick),35,24
,3:51,Raiders,Marcel Reece 13 yard pass from Carson Palmer (Juron Criner pass from Carson Palmer),35,32
,1:49,Buccaneers,Doug Martin 1 yard rush (Connor Barth kick),42,32
