Unnamed: 0,TAM,OAK
First Downs,23,25
Rush-Yds-TDs,32-278-4,11-22-0
Cmp-Att-Yd-TD-INT,18-30-247-2-0,40-62-418-4-3
Sacked-Yards,1-10,2-16
Net Pass Yards,237,402
Total Yards,515,424
Fumbles-Lost,2-1,2-0
Turnovers,1,3
Penalties-Yards,14-116,9-80
Third Down Conv.,5-12,5-14
Fourth Down Conv.,0-1,1-2
Time of Possession,28:04,31:56
