Unnamed: 0,NWE,GNB
First Downs,20,24
Rush-Yds-TDs,18-84-1,29-130-0
Cmp-Att-Yd-TD-INT,22-35-245-2-0,24-38-368-2-0
Sacked-Yards,1-9,3-20
Net Pass Yards,236,348
Total Yards,320,478
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,4-25,4-22
Third Down Conv.,4-10,10-17
Fourth Down Conv.,1-1,0-0
Time of Possession,23:25,36:35
