Unnamed: 0,BAL,BUF
First Downs,15,19
Rush-Yds-TDs,9-24-0,55-203-1
Cmp-Att-Yd-TD-INT,25-50-347-2-5,10-22-167-1-2
Sacked-Yards,4-26,2-20
Net Pass Yards,321,147
Total Yards,345,350
Fumbles-Lost,0-0,4-1
Turnovers,5,3
Penalties-Yards,8-59,11-99
Third Down Conv.,3-16,5-18
Fourth Down Conv.,1-1,0-0
Time of Possession,23:34,36:26
