Quarter,Time,Down,ToGo,Location,BAL,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dan Carpenter kicks off 66 yards, returned by Deonte Thompson for 18 yards (tackle by Marcus Easley)",0.000,0.060
1,14:56,1,10,BAL 17,0,0,"Ray Rice left guard for -2 yards (tackle by Mario Williams and Arthur Moats). Penalty on Kelechi Osemele: Personal Foul, 9 yards (no play)",-0.060,-0.720
1,14:34,1,19,BAL 8,0,0,"Penalty on Ray Rice: False Start, 4 yards (no play)",-0.720,-0.870
1,14:15,1,23,BAL 4,0,0,Ray Rice left guard for 5 yards (tackle by Justin Rogers and Kiko Alonso),-0.870,-1.360
1,13:40,2,18,BAL 9,0,0,Joe Flacco pass complete short left to Marlon Brown for 5 yards (tackle by Arthur Moats and Justin Rogers),-1.360,-1.720
1,13:07,3,13,BAL 14,0,0,Joe Flacco pass complete short left to Marlon Brown for 14 yards (tackle by Justin Rogers),-1.720,0.810
1,12:27,1,10,BAL 28,0,0,Joe Flacco pass complete short left to Vonta Leach for 2 yards (tackle by Manny Lawson),0.810,0.530
1,12:01,2,8,BAL 30,0,0,Bernard Pierce up the middle for 3 yards (tackle by Marcell Dareus and Kiko Alonso),0.530,0.230
1,11:24,3,5,BAL 33,0,0,"Penalty on Marshal Yanda: False Start, 5 yards (no play)",0.230,-0.430
1,11:09,3,10,BAL 28,0,0,Joe Flacco pass incomplete short right intended for Tandon Doss,-0.430,-1.500
1,11:04,4,10,BAL 28,0,0,"Sam Koch punts 53 yards, returned by Jim Leonhard for 8 yards (tackle by Albert McClellan)",-1.500,-0.740
1,10:54,1,10,BUF 27,0,0,C.J. Spiller up the middle for 10 yards (tackle by James Ihedigbo),0.740,1.400
1,10:27,1,10,BUF 37,0,0,C.J. Spiller left end for 5 yards (tackle by Jimmy Smith),1.400,1.530
1,10:21,2,5,BUF 42,0,0,C.J. Spiller left guard for 3 yards (tackle by Josh Bynes and Terrell Suggs),1.530,1.220
1,9:48,3,2,BUF 45,0,0,EJ Manuel pass complete short left to Scott Chandler for 14 yards (tackle by Daryl Smith),1.220,2.850
1,9:22,1,10,BAL 41,0,0,EJ Manuel pass incomplete short middle intended for Steve Johnson,2.850,2.310
1,9:18,2,10,BAL 41,0,0,Fred Jackson right guard for 1 yard (tackle by James Ihedigbo and Terrell Suggs),2.310,1.750
1,8:36,3,9,BAL 40,0,0,EJ Manuel pass complete short middle to T.J. Graham for 26 yards (tackle by Michael Huff),1.750,4.650
1,7:51,1,10,BAL 14,0,0,C.J. Spiller up the middle for 6 yards (tackle by Daryl Smith),4.650,5.090
1,7:21,2,4,BAL 8,0,0,C.J. Spiller right guard for 1 yard (tackle by Elvis Dumervil and James Ihedigbo),5.090,4.500
1,6:49,3,3,BAL 7,0,0,EJ Manuel sacked by Terrell Suggs for -2 yards,4.500,2.880
1,6:15,4,5,BAL 9,0,3,Dan Carpenter 27 yard field goal good,2.880,3.000
1,6:15,,,BUF 35,0,3,"Dan Carpenter kicks off 65 yards, touchback",0.000,-0.280
1,6:11,1,10,BAL 20,0,3,Ray Rice up the middle for 3 yards (tackle by Kiko Alonso and Nigel Bradham),0.280,0.140
1,5:43,2,7,BAL 23,0,3,Joe Flacco pass incomplete short right intended for Deonte Thompson,0.140,-0.560
1,5:37,3,7,BAL 23,0,3,Joe Flacco pass incomplete short right intended for Tandon Doss is intercepted by Aaron Williams at BAL-31 and returned for 6 yards (tackle by Marlon Brown),-0.560,-3.910
1,5:29,1,10,BAL 25,0,3,C.J. Spiller left tackle for 2 yards (tackle by Terrell Suggs and Marcus Spears),3.910,3.630
