Quarter,Time,Tm,Detail,BAL,BUF
1.0,6:11,Bills,Dan Carpenter 27 yard field goal,0,3
,3:03,Bills,Dan Carpenter 27 yard field goal,0,6
2.0,13:55,Ravens,Marlon Brown 10 yard pass from Joe Flacco (Justin Tucker kick),7,6
,8:40,Bills,Robert Woods 42 yard pass from EJ Manuel (Dan Carpenter kick),7,13
,6:52,Bills,Fred Jackson 16 yard rush (Dan Carpenter kick),7,20
3.0,7:17,Ravens,Torrey Smith 26 yard pass from Joe Flacco (Justin Tucker kick),14,20
,1:56,Bills,Dan Carpenter 22 yard field goal,14,23
4.0,7:12,Ravens,Justin Tucker 35 yard field goal,17,23
,4:04,Ravens,Justin Tucker 24 yard field goal,20,23
