Quarter,Time,Tm,Detail,DEN,TEN
2.0,8:21,Broncos,Jalen Virgil 66 yard pass from Russell Wilson (Brandon McManus kick),7,0
,2:23,Broncos,Brandon McManus 39 yard field goal,10,0
,0:12,Titans,Nick Westbrook-Ikhine 9 yard pass from Ryan Tannehill (Randy Bullock kick),10,7
3.0,5:14,Titans,Nick Westbrook-Ikhine 63 yard pass from Ryan Tannehill (Randy Bullock kick),10,14
4.0,2:59,Titans,Randy Bullock 35 yard field goal,10,17
