Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TEN 25,0,0,Derrick Henry left guard for 2 yards (tackle by Mike Purcell),0.610,0.330
1,14:16,2,8,TEN 27,0,0,Ryan Tannehill pass incomplete short left intended for Treylon Burks,0.330,-0.360
1,14:12,3,8,TEN 27,0,0,"Ryan Tannehill sacked by Jacob Martin for no gain. Penalty on Jacob Martin: Defensive Offside, 5 yards (accepted) (no play)",-0.360,0.300
1,13:45,3,3,TEN 32,0,0,Ryan Tannehill pass incomplete short right intended for Geoff Swaim,0.300,-1.240
1,13:40,4,3,TEN 32,0,0,Ryan Stonehouse punts 64 yards downed by Tre Avery,-1.240,0.380
1,13:28,1,10,DEN 4,0,0,Russell Wilson pass incomplete deep left intended for Jerry Jeudy,-0.380,-0.780
1,13:22,2,10,DEN 4,0,0,Russell Wilson pass incomplete short left,-0.780,-1.420
1,13:17,3,10,DEN 4,0,0,Russell Wilson pass complete deep left to Kendall Hinton for 35 yards (tackle by Terrance Mitchell),-1.420,1.530
1,12:43,1,10,DEN 39,0,0,Russell Wilson pass incomplete short middle intended for Greg Dulcich,1.530,0.990
1,12:42,2,10,DEN 39,0,0,Melvin Gordon up the middle for no gain (tackle by Teair Tart),0.990,0.300
1,11:58,3,10,DEN 39,0,0,Russell Wilson pass incomplete deep left,0.300,-0.780
1,11:53,4,10,DEN 39,0,0,"Corliss Waitman punts 53 yards, returned by C.J. Board for 17 yards (tackle by Essang Bassey)",-0.780,-0.610
1,11:41,1,10,TEN 25,0,0,Derrick Henry up the middle for 2 yards (tackle by Jonathan Harris and D.J. Jones),0.610,0.330
1,11:03,2,8,TEN 27,0,0,Ryan Tannehill pass complete short right to Austin Hooper for 7 yards (tackle by Alex Singleton),0.330,0.560
1,10:21,3,1,TEN 34,0,0,Derrick Henry left tackle for 1 yard (tackle by Josey Jewell),0.560,1.270
1,9:38,1,10,TEN 35,0,0,Ryan Tannehill pass incomplete short middle intended for Nick Westbrook-Ikhine (defended by Kareem Jackson),1.270,0.720
1,9:33,2,10,TEN 35,0,0,Ryan Tannehill pass complete short right to Treylon Burks for 3 yards (tackle by Josey Jewell),0.720,0.430
1,8:48,3,7,TEN 38,0,0,Ryan Tannehill pass incomplete short right intended for Nick Westbrook-Ikhine (defended by Essang Bassey),0.430,-0.850
1,8:42,4,7,TEN 38,0,0,"Ryan Stonehouse punts 49 yards, returned by Montrell Washington for 8 yards (tackle by Dylan Cole)",-0.850,-0.340
1,8:31,1,10,DEN 21,0,0,"Russell Wilson pass complete to Greg Dulcich for 2 yards (tackle by David Long). Penalty on Sam Okuayinonu: Defensive Offside, 5 yards (offset) . Penalty on Graham Glasgow: Ineligible Downfield Pass, 5 yards (offset) (no play)",0.340,0.340
1,8:16,1,10,DEN 21,0,0,Russell Wilson pass incomplete short left intended for Courtland Sutton,0.340,-0.200
1,8:14,2,10,DEN 21,0,0,Melvin Gordon up the middle for 7 yards (tackle by Sam Okuayinonu),-0.200,0.040
1,7:28,3,3,DEN 28,0,0,Russell Wilson pass incomplete deep left intended for Courtland Sutton (defended by Terrance Mitchell),0.040,-1.500
1,7:23,4,3,DEN 28,0,0,"Corliss Waitman punts 44 yards, fair catch by C.J. Board at TEN-28",-1.500,-0.810
1,7:16,1,10,TEN 28,0,0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 25 yards (tackle by Kareem Jackson),0.810,2.460
1,6:44,1,10,DEN 47,0,0,Derrick Henry left guard for 3 yards (tackle by Alex Singleton and Josey Jewell),2.460,2.320
1,6:00,2,7,DEN 44,0,0,Ryan Tannehill pass incomplete short right intended for Dontrell Hilliard,2.320,1.620
1,5:57,3,7,DEN 44,0,0,Ryan Tannehill pass incomplete short right intended for Treylon Burks,1.620,0.330
1,5:53,4,7,DEN 44,0,0,Ryan Stonehouse punts 38 yards downed by C.J. Board,0.330,0.380
1,5:46,1,10,DEN 6,0,0,Russell Wilson pass complete short middle to Greg Dulcich for 11 yards (tackle by David Long and Monty Rice),-0.380,-0.060
1,5:17,1,10,DEN 17,0,0,Russell Wilson pass complete short left to Chase Edmonds for no gain (tackle by Andrew Adams),-0.060,-0.580
1,4:38,2,10,DEN 17,0,0,Melvin Gordon right tackle for -1 yards (tackle by Monty Rice and Roger McCreary),-0.580,-1.410
1,3:52,3,11,DEN 16,0,0,Russell Wilson pass complete deep right to Courtland Sutton for 16 yards (tackle by Roger McCreary),-1.410,1.070
1,3:19,1,10,DEN 32,0,0,Latavius Murray right guard for 1 yard (tackle by David Long and Sam Okuayinonu),1.070,0.660
1,2:38,2,9,DEN 33,0,0,Russell Wilson pass incomplete deep middle intended for Greg Dulcich,0.660,-0.030
1,2:31,3,9,DEN 33,0,0,Russell Wilson sacked by Mario Edwards for -9 yards,-0.030,-1.770
1,1:49,4,18,DEN 24,0,0,"Corliss Waitman punts 50 yards, returned by C.J. Board for 16 yards. C.J. Board fumbles (forced by P.J. Locke), recovered by C.J. Board at TEN-42 (tackle by Mitchell Fraboni and P.J. Locke)",-1.770,-1.730
1,1:37,1,10,TEN 42,0,0,Derrick Henry up the middle for 3 yards (tackle by Mike Purcell and Jonathan Harris),1.730,1.590
1,0:59,2,7,TEN 45,0,0,Derrick Henry right guard for 5 yards (tackle by Alex Singleton and Nik Bonitto),1.590,1.550
1,0:13,3,2,TEN 50,0,0,Ryan Tannehill pass incomplete short middle intended for Robert Woods (defended by K'Waun Williams),1.550,-0.060
1,0:10,4,2,TEN 50,0,0,"Ryan Stonehouse punts 42 yards, fair catch by Montrell Washington at DEN-8",-0.060,0.380
1,0:03,1,10,DEN 8,0,0,Russell Wilson pass complete short right to Kendall Hinton for 17 yards (tackle by Monty Rice),-0.380,0.610
Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 25,0,0,"Penalty on Eric Tomlinson: False Start, 5 yards (accepted) (no play)",0.610,0.280
2,15:00,1,15,DEN 20,0,0,Russell Wilson pass complete short left to Kendall Hinton for 9 yards (tackle by Terrance Mitchell),0.280,0.600
2,14:28,2,6,DEN 29,0,0,Latavius Murray left tackle for 10 yards (tackle by Dylan Cole and Mario Edwards),0.600,1.530
2,13:55,1,10,DEN 39,0,0,Russell Wilson left end for -2 yards (tackle by Mario Edwards),1.530,0.720
2,13:26,2,12,DEN 37,0,0,Russell Wilson pass complete short left to Courtland Sutton for 3 yards (tackle by Terrance Mitchell and Andrew Adams),0.720,0.430
2,12:45,3,9,DEN 40,0,0,Russell Wilson pass incomplete short middle intended for Greg Dulcich,0.430,-0.720
2,12:39,4,9,DEN 40,0,0,"Corliss Waitman punts 46 yards, returned by C.J. Board for 6 yards (tackle by Alex Singleton and Mitchell Fraboni)",-0.720,-0.280
2,12:28,1,10,TEN 20,0,0,Ryan Tannehill pass incomplete short left intended for Nick Westbrook-Ikhine (defended by D.J. Jones),0.280,-0.270
2,12:26,2,10,TEN 20,0,0,Ryan Tannehill pass complete short left to Dontrell Hilliard for 6 yards (tackle by D.J. Jones and Jonathon Cooper),-0.270,-0.160
2,11:35,3,4,TEN 26,0,0,Ryan Tannehill pass incomplete short right intended for Austin Hooper,-0.160,-1.630
2,11:31,4,4,TEN 26,0,0,"Ryan Stonehouse punts 74 yards, touchback.",-1.630,-0.280
2,11:21,1,10,DEN 20,0,0,"Penalty on Graham Glasgow: False Start, 5 yards (accepted) (no play)",0.280,-0.310
2,11:21,1,15,DEN 15,0,0,Russell Wilson pass complete short left to Latavius Murray for 14 yards (tackle by Terrance Mitchell),-0.310,0.950
2,10:50,2,1,DEN 29,0,0,Latavius Murray right guard for -1 yards (tackle by Dylan Cole and Monty Rice),0.950,0.100
2,10:18,3,2,DEN 28,0,0,Latavius Murray right guard for 2 yards (tackle by Teair Tart),0.100,0.940
2,9:45,1,10,DEN 30,0,0,Russell Wilson pass complete short right to Latavius Murray for no gain (tackle by Roger McCreary),0.940,0.390
2,9:13,2,10,DEN 30,0,0,Latavius Murray right tackle for 4 yards (tackle by Sam Okuayinonu),0.390,0.230
2,8:30,3,6,DEN 34,6,0,"Russell Wilson pass complete deep left to Jalen Virgil for 66 yards, touchdown",0.230,7.000
2,8:21,,,TEN 15,7,0,Brandon McManus kicks extra point good,0.000,0.000
2,8:21,,,DEN 35,7,0,"Brandon McManus kicks off 53 yards, returned by Hassan Haskins for 17 yards (tackle by Essang Bassey and Delarrin Turner-Yell)",0.000,0.870
2,8:15,1,10,TEN 29,7,0,Derrick Henry right tackle for 3 yards (tackle by D.J. Jones),0.870,0.730
2,7:37,2,7,TEN 32,7,0,Derrick Henry up the middle for -3 yards (tackle by Nik Bonitto),0.730,-0.360
2,6:58,3,10,TEN 29,7,0,Ryan Tannehill sacked by Jacob Martin for -11 yards,-0.360,-2.240
2,6:27,4,22,TEN 18,7,0,"Ryan Stonehouse punts 49 yards, returned by Montrell Washington for 5 yards (tackle by Joseph Jones and Kevin Rader)",-2.240,-1.470
2,6:18,1,10,DEN 38,7,0,Latavius Murray up the middle for 7 yards (tackle by Andrew Adams and Kevin Byard),1.470,1.870
2,5:52,2,3,DEN 45,7,0,"Latavius Murray left guard for 1 yard (tackle by Monty Rice). Penalty on Larrell Murchison: Defensive Holding, 5 yards (accepted)",1.870,2.320
2,5:30,1,10,TEN 49,7,0,Latavius Murray up the middle for no gain (tackle by Denico Autry and Mario Edwards),2.320,1.780
2,4:58,2,10,TEN 49,7,0,Russell Wilson pass complete deep right to Courtland Sutton for 17 yards (tackle by Roger McCreary),1.780,3.450
2,4:25,1,10,TEN 32,7,0,"Russell Wilson scrambles up the middle for no gain (tackle by Terrance Mitchell). Penalty on Quinn Meinerz: Offensive Holding, 10 yards (accepted) (no play)",3.450,2.790
2,3:54,1,20,TEN 42,7,0,Russell Wilson pass incomplete short right intended for Melvin Gordon,2.790,1.550
2,3:51,2,20,TEN 42,7,0,"Russell Wilson scrambles right end for no gain (tackle by Sam Okuayinonu and Monty Rice). Penalty on Sam Okuayinonu: Defensive Offside, 5 yards (accepted) (no play)",1.550,2.230
2,3:13,2,15,TEN 37,7,0,"Russell Wilson pass incomplete short right intended for Greg Dulcich. Penalty on Sam Okuayinonu: Roughing the Passer, 15 yards (accepted) (no play)",2.230,4.110
2,3:13,1,10,TEN 22,7,0,Melvin Gordon left guard for 1 yard (tackle by David Long),4.110,3.700
2,2:40,2,9,TEN 21,7,0,Russell Wilson pass incomplete short left intended for Melvin Gordon,3.700,3.010
2,2:35,3,9,TEN 21,7,0,Russell Wilson pass incomplete deep middle intended for Tyrie Cleveland (defended by Joshua Kalu),3.010,2.060
2,2:27,4,9,TEN 21,10,0,Brandon McManus 39 yard field goal good,2.060,3.000
2,2:23,,,DEN 35,10,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,2:23,1,10,TEN 25,10,0,Ryan Tannehill pass complete short middle to Derrick Henry for 7 yards (tackle by Josey Jewell and K'Waun Williams),0.610,1.010
2,2:00,2,3,TEN 32,10,0,Ryan Tannehill pass incomplete short right intended for Derrick Henry,1.010,0.300
2,1:57,3,3,TEN 32,10,0,Ryan Tannehill pass complete short middle to Robert Woods for 6 yards (tackle by Kareem Jackson and Josey Jewell),0.300,1.470
2,1:37,1,10,TEN 38,10,0,Ryan Tannehill pass incomplete deep right intended for Austin Hooper (defended by P.J. Locke),1.470,0.920
2,1:32,2,10,TEN 38,10,0,Ryan Tannehill pass complete short right to Nick Westbrook-Ikhine for 16 yards (tackle by P.J. Locke),0.920,2.520
2,1:09,1,10,DEN 46,10,0,Ryan Tannehill pass complete short middle to Austin Hooper for 5 yards (tackle by Essang Bassey),2.520,2.650
2,0:55,2,5,DEN 41,10,0,Ryan Tannehill pass complete short middle to Nick Westbrook-Ikhine for 6 yards (tackle by Kareem Jackson),2.650,3.250
2,0:50,,,,,,Timeout #1 by Tennessee Titans,,
2,0:50,1,10,DEN 35,10,0,Ryan Tannehill pass complete short left to Treylon Burks for 6 yards (tackle by Patrick Surtain),3.250,3.510
2,0:35,2,4,DEN 29,10,0,"Ryan Tannehill pass complete short right to Robert Woods for 4 yards (tackle by Damarri Mathis) Replay Assistant challenged the first down ruling, and the play was upheld.",3.510,3.910
2,0:29,,,,,,Timeout #2 by Tennessee Titans,,
2,0:29,1,10,DEN 25,10,0,"Ryan Tannehill scrambles up the middle for 11 yards (tackle by Josey Jewell). Penalty on K'Waun Williams: Defensive Holding, 5 yards (accepted)",3.910,5.140
2,0:22,1,9,DEN 9,10,0,Ryan Tannehill pass incomplete short left intended for Robert Woods (defended by DeShawn Williams),5.140,4.380
2,0:19,2,9,DEN 9,10,0,Ryan Tannehill pass incomplete short right intended for Treylon Burks,4.380,3.360
2,0:16,,,,,,Timeout #1 by Denver Broncos,,
2,0:16,3,9,DEN 9,10,6,"Ryan Tannehill pass complete short left to Nick Westbrook-Ikhine for 9 yards, touchdown",3.360,7.000
2,0:12,,,DEN 15,10,7,Randy Bullock kicks extra point good,0.000,0.000
2,0:12,,,TEN 35,10,7,"Randy Bullock kicks off 47 yards, returned by Tyrie Cleveland for 8 yards (tackle by Tre Avery)",0.000,0.670
2,0:06,1,10,DEN 26,10,7,Russell Wilson kneels for -1 yards,0.670,-0.010
Quarter,Time,Down,ToGo,Location,DEN,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,10,7,"Ryan Stonehouse kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,10,7,Russell Wilson pass incomplete short right intended for Eric Tomlinson,0.610,0.060
3,14:56,2,10,DEN 25,10,7,Melvin Gordon left tackle for 5 yards (tackle by Terrance Mitchell),0.060,0.040
3,14:12,3,5,DEN 30,10,7,Russell Wilson pass incomplete deep middle intended for Montrell Washington (defended by Joshua Kalu),0.040,-1.370
