Unnamed: 0,DEN,TEN
First Downs,18,14
Rush-Yds-TDs,25-65-0,23-63-0
Cmp-Att-Yd-TD-INT,21-42-286-1-1,19-36-255-2-0
Sacked-Yards,6-38,1-11
Net Pass Yards,248,244
Total Yards,313,307
Fumbles-Lost,3-0,2-1
Turnovers,1,1
Penalties-Yards,8-50,9-60
Third Down Conv.,4-17,6-16
Fourth Down Conv.,2-3,0-0
Time of Possession,33:57,26:03
