Quarter,Time,Down,ToGo,Location,OAK,CIN,Detail,EPB,EPA
2,2:00,3,1,CIN 45,0,21,Carson Palmer pass incomplete short left intended for Darrius Heyward-Bey,1.950,0.270
2,1:55,4,1,CIN 45,0,21,Owen Schmitt up the middle for -1 yards (tackle by Vontaze Burfict and Robert Geathers),0.270,-1.990
2,1:48,1,10,CIN 46,0,21,Andy Dalton pass complete short left to A.J. Green for 19 yards (tackle by Tyvon Branch and Matt Giordano),1.990,3.250
2,1:22,1,10,OAK 35,0,21,Andy Dalton pass complete short middle to Mohamed Sanu for 5 yards (tackle by Miles Burris),3.250,3.380
2,0:57,2,5,OAK 30,0,21,Andy Dalton pass incomplete deep left intended for Mohamed Sanu,3.380,2.680
2,0:50,3,5,OAK 30,0,21,Andy Dalton pass incomplete short middle intended for A.J. Green,2.680,1.450
2,0:45,4,5,OAK 30,0,21,Mike Nugent 48 yard field goal no good,1.450,-1.470
2,0:40,1,10,OAK 38,0,21,Carson Palmer pass incomplete deep middle intended for Darrius Heyward-Bey,1.470,0.920
2,0:34,2,10,OAK 38,0,21,Carson Palmer pass complete short middle to Juron Criner for 11 yards (tackle by Pacman Jones),0.920,0.000
2,0:28,,,,0,21,Timeout #1 by Oakland Raiders,0.000,2.190
2,0:28,1,10,OAK 49,0,21,Carson Palmer pass incomplete short middle intended for Marcel Reece,2.190,1.650
2,0:23,2,10,OAK 49,0,21,Carson Palmer pass complete short middle to Brandon Myers for 12 yards (tackle by Rey Maualuga),1.650,0.000
2,0:17,,,,0,21,Timeout #2 by Oakland Raiders,0.000,2.980
2,0:17,1,10,CIN 39,0,21,Carson Palmer pass incomplete deep middle intended for Marcel Reece is intercepted by Chris Crocker at CIN-23 and returned for 29 yards (tackle by Khalif Barnes),2.980,-2.390
2,0:08,1,10,OAK 48,0,21,Andy Dalton pass complete short middle to Mohamed Sanu for 11 yards (tackle by Joselio Hanson),2.390,0.000
2,0:02,,,,0,21,Timeout #3 by Cincinnati Bengals,0.000,3.120
2,0:02,1,10,OAK 37,0,24,Mike Nugent 55 yard field goal good,3.120,3.000
Quarter,Time,Down,ToGo,Location,OAK,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,0,24,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,CIN 20,0,24,BenJarvus Green-Ellis right guard for 1 yard (tackle by Rolando McClain and Lamarr Houston),0.280,-0.130
3,14:20,2,9,CIN 21,0,24,Andy Dalton pass incomplete short right intended for Mohamed Sanu (defended by Matt Giordano),-0.130,-0.820
3,14:15,3,9,CIN 21,0,24,Andy Dalton pass incomplete deep left intended for A.J. Green,-0.820,-1.960
3,14:10,4,9,CIN 21,0,24,Kevin Huber punts 40 yards (tackle by Clark Harris),-1.960,-2.260
3,14:00,1,10,,0,24,Carson Palmer pass incomplete deep middle intended for Darrius Heyward-Bey (defended by Reggie Nelson),2.260,1.710
3,13:53,2,10,,0,24,Marcel Reece right tackle for 10 yards (tackle by Chris Crocker and Rey Maualuga),1.710,2.920
3,13:07,1,10,CIN 40,0,24,Marcel Reece left tackle for 3 yards (tackle by Domata Peko and Rey Maualuga),2.920,2.780
3,12:28,2,7,CIN 37,0,24,Carson Palmer pass complete short right to Jeremy Stewart for -1 yards (tackle by Robert Geathers),2.780,1.950
3,11:35,3,8,CIN 38,0,24,"Penalty on OAK: Delay of Game, 5 yards (no play)",1.950,1.290
3,11:14,3,13,CIN 43,0,24,Carson Palmer pass complete short right to Juron Criner for 6 yards (tackle by Leon Hall),1.290,0.790
3,10:34,4,7,CIN 37,3,24,Sebastian Janikowski 55 yard field goal good,0.790,3.000
3,10:28,,,OAK 35,3,24,"Sebastian Janikowski kicks off 73 yards, returned by Brandon Tate for 25 yards (tackle by Coye Francies)",0.000,-0.060
3,10:22,1,10,CIN 17,3,24,Andy Dalton pass incomplete,-0.060,-0.580
3,10:13,2,10,CIN 17,3,24,BenJarvus Green-Ellis up the middle for 5 yards (tackle by Joselio Hanson),-0.580,-0.620
3,9:31,3,5,CIN 22,3,24,Andy Dalton pass incomplete short middle intended for Mohamed Sanu (defended by Joselio Hanson),-0.620,-1.900
3,9:27,4,5,CIN 22,3,24,Kevin Huber punts 35 yards,-1.900,-1.800
3,9:15,1,10,OAK 43,3,24,Carson Palmer sacked by Wallace Gilberry for -10 yards,1.800,-0.100
3,8:36,2,20,OAK 33,3,24,Carson Palmer pass complete short right to Jeremy Stewart for 6 yards (tackle by Terence Newman),-0.100,0.040
3,7:54,3,14,OAK 39,3,24,Carson Palmer pass complete short middle to Jeremy Stewart for 7 yards (tackle by Vontaze Burfict),0.040,-0.320
3,7:13,4,7,OAK 46,3,24,"Shane Lechler punts 42 yards, returned by Brandon Tate for 3 yards (tackle by Richard Gordon)",-0.320,0.220
3,7:04,1,10,CIN 15,3,24,A.J. Green left end for 1 yard (tackle by Michael Huff),-0.220,-0.580
3,6:16,2,9,CIN 16,3,24,Andy Dalton sacked by Philip Wheeler for -8 yards,-0.580,-2.240
3,5:41,3,17,CIN 8,3,24,Andy Dalton pass incomplete short right intended for A.J. Green,-2.240,-2.490
3,5:37,4,17,CIN 8,3,24,"Kevin Huber punts 44 yards, fair catch by Phillip Adams",-2.490,-2.130
3,5:29,1,10,OAK 48,3,24,Marcel Reece left guard for 12 yards (tackle by Reggie Nelson and Manny Lawson),2.130,2.920
3,4:51,1,10,CIN 40,3,24,"Penalty on Khalif Barnes: False Start, 5 yards (no play)",2.920,2.590
3,4:29,1,15,CIN 45,3,24,Marcel Reece left end for 15 yards (tackle by Chris Crocker),2.590,3.580
3,3:49,1,10,CIN 30,3,24,Jeremy Stewart right end for 8 yards (tackle by Vontaze Burfict),3.580,4.110
3,3:10,2,2,CIN 22,3,24,Marcel Reece right tackle for 2 yards (tackle by Pat Sims),4.110,4.240
3,2:28,1,10,CIN 20,9,24,"Carson Palmer pass complete deep middle to Denarius Moore for 20 yards, touchdown",4.240,7.000
3,2:28,,,CIN 2,10,24,Sebastian Janikowski kicks extra point good,0.000,0.000
3,2:21,,,OAK 35,10,24,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,0.280
3,2:21,1,10,CIN 20,10,24,BenJarvus Green-Ellis right end for 1 yard (tackle by Tommy Kelly),0.280,-0.130
3,1:46,2,9,CIN 21,10,24,Andy Dalton pass complete short right to Orson Charles for 4 yards (tackle by Rolando McClain),-0.130,-0.300
3,1:03,3,5,CIN 25,10,24,Andy Dalton sacked by Matt Shaughnessy for -8 yards,-0.300,-2.320
3,0:40,4,13,CIN 17,10,24,Kevin Huber punts 45 yards (tackle by Taylor Mays),-2.320,-1.860
3,0:26,1,10,OAK 44,10,24,Jeremy Stewart right end for 6 yards (tackle by Carlos Dunlap),1.860,2.130
Quarter,Time,Down,ToGo,Location,OAK,CIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,4,,10,24,"Carson Palmer sacked by Manny Lawson for -8 yards. Carson Palmer fumbles (forced by Manny Lawson), recovered by Rey Maualuga at OAK-46 (tackle by Marcel Reece)",2.130,-2.520
4,14:52,1,10,OAK 46,10,24,BenJarvus Green-Ellis left tackle for 6 yards (tackle by Desmond Bryant and Lamarr Houston),2.520,2.790
4,14:29,2,4,OAK 40,10,24,BenJarvus Green-Ellis left tackle for 39 yards (tackle by Tyvon Branch and Matt Giordano),2.790,6.970
,,,,,,,"CIN challenged the runner broke the plane ruling, and the play was upheld.",,
4,13:58,1,1,OAK 1,10,24,BenJarvus Green-Ellis right guard for no gain (tackle by Rolando McClain and Tyvon Branch),6.970,5.910
4,13:21,2,1,OAK 1,10,24,BenJarvus Green-Ellis right guard for -1 yards (tackle by Philip Wheeler and Miles Burris),5.910,4.950
4,12:40,3,2,OAK 2,10,24,Andy Dalton pass incomplete short left intended for Marvin Jones (defended by Ronald Bartell),4.950,3.250
4,12:33,4,2,OAK 2,10,27,Mike Nugent 20 yard field goal good,3.250,3.000
4,12:29,,,CIN 35,10,27,"Mike Nugent kicks off 71 yards, touchback",0.000,0.280
4,12:29,1,10,OAK 20,10,27,Marcel Reece right tackle for 8 yards (tackle by Pat Sims),0.280,0.810
4,11:52,2,2,OAK 28,10,27,Marcel Reece left tackle for 6 yards (tackle by Chris Crocker),0.810,1.200
4,11:21,1,10,OAK 34,10,27,Jeremy Stewart left guard for 1 yard (tackle by Pat Sims and Michael Johnson),1.200,0.790
4,10:45,2,9,OAK 35,10,27,Carson Palmer pass complete short left to Jeremy Stewart for 26 yards (tackle by Chris Crocker),0.790,2.980
4,10:08,1,10,CIN 39,10,27,"Carson Palmer pass complete short middle to Marcel Reece for 5 yards (tackle by Rey Maualuga and Chris Crocker). Penalty on Mike Brisiel: Clipping, 15 yards",2.980,2.320
4,9:43,1,20,CIN 49,10,27,Carson Palmer pass incomplete short right intended for Juron Criner (defended by Terence Newman),2.320,1.090
4,9:39,2,20,CIN 49,10,27,Carson Palmer pass complete short middle to Jeremy Stewart for -4 yards (tackle by Geno Atkins),1.090,0.000
4,9:08,,,,10,27,Timeout #1 by Oakland Raiders,0.000,-0.100
4,9:08,3,24,OAK 47,10,27,Carson Palmer pass incomplete short right intended for Juron Criner,-0.100,-0.260
4,9:00,4,24,OAK 47,10,27,"Shane Lechler punts 42 yards, returned by Brandon Tate for 5 yards (tackle by Taiwan Jones)",-0.260,0.140
4,8:50,1,10,CIN 16,10,27,BenJarvus Green-Ellis left guard for 4 yards (tackle by Andre Carter),-0.140,0.010
4,8:16,2,6,CIN 20,10,27,BenJarvus Green-Ellis right tackle for no gain (tackle by Michael Huff and Philip Wheeler),0.010,-0.820
4,7:31,3,6,CIN 20,10,27,,-0.820,-0.820
4,7:16,3,6,CIN 20,10,27,"Penalty on CIN: Offensive 12 On-field, 5 yards (no play)",-0.820,-1.470
4,7:16,3,11,CIN 15,10,27,Andy Dalton pass complete deep middle to A.J. Green for 48 yards (tackle by Matt Giordano),-1.470,3.120
4,6:32,1,10,OAK 37,10,27,Cedric Peerman up the middle for 7 yards (tackle by Rolando McClain and Miles Burris),3.120,3.520
4,5:59,2,3,OAK 30,10,27,Cedric Peerman up the middle for no gain (tackle by Miles Burris),3.520,2.810
4,5:27,3,3,OAK 30,10,27,Cedric Peerman right guard for 6 yards (tackle by Tyvon Branch),2.810,0.000
4,5:21,,,,10,27,Timeout #2 by Oakland Raiders,0.000,3.970
4,5:21,1,10,OAK 24,10,27,Cedric Peerman right tackle for 9 yards (tackle by Matt Giordano and Rolando McClain),3.970,4.850
4,4:42,2,1,OAK 15,10,27,Cedric Peerman right tackle for 4 yards (tackle by Michael Huff),4.850,4.840
4,3:58,1,10,OAK 11,10,27,Andy Dalton pass incomplete short left intended for A.J. Green,4.840,4.140
4,3:53,2,10,OAK 11,10,27,Cedric Peerman left tackle for 4 yards (tackle by Miles Burris and Matt Giordano),4.140,0.000
4,3:46,,,,10,27,Timeout #3 by Oakland Raiders,0.000,3.980
4,3:46,3,6,OAK 7,10,33,"Andy Dalton pass complete short left to Jermaine Gresham for 7 yards, touchdown",3.980,7.000
4,3:46,,,OAK 2,10,34,Mike Nugent kicks extra point good,0.000,0.000
4,3:39,,,CIN 35,10,34,"Mike Nugent kicks off 64 yards, returned by Coye Francies for 17 yards (tackle by Dre Kirkpatrick)",0.000,0.040
4,3:33,1,10,OAK 18,10,34,Marcel Reece right guard for 2 yards (tackle by Robert Geathers),0.040,-0.130
4,3:04,2,8,OAK 20,10,34,Carson Palmer pass complete short middle to Brandon Myers for 7 yards (tackle by Rey Maualuga and Vontaze Burfict),-0.130,-0.020
4,2:21,3,1,OAK 27,10,34,Carson Palmer pass complete short right to Marcel Reece for 4 yards (tackle by Vontaze Burfict),-0.020,1.000
4,2:14,1,10,OAK 31,10,34,Carson Palmer pass incomplete short right intended for Marcel Reece,1.000,0.460
4,2:09,2,10,OAK 31,10,34,Marcel Reece right guard for no gain (tackle by Robert Geathers),0.460,-0.230
4,2:00,3,10,OAK 31,10,34,Carson Palmer pass incomplete short right intended for Marcel Reece,-0.230,-1.310
4,1:54,4,10,OAK 31,10,34,Carson Palmer pass incomplete short left intended for Brandon Myers,-1.310,-3.510
4,1:48,1,10,OAK 31,10,34,Andy Dalton kneels for -1 yards,3.510,2.830
4,1:14,2,11,OAK 32,10,34,Andy Dalton kneels for -1 yards,2.830,2.020
4,0:37,3,12,OAK 33,10,34,Andy Dalton kneels for -1 yards,2.020,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
