Quarter,Time,Tm,Detail,OAK,CIN
1.0,9:12,Bengals,BenJarvus Green-Ellis 1 yard rush (Mike Nugent kick),0,7
,2:59,Bengals,Mohamed Sanu 2 yard pass from Andy Dalton (Mike Nugent kick),0,14
2.0,7:28,Bengals,Mohamed Sanu 5 yard pass from Andy Dalton (Mike Nugent kick),0,21
,0:00,Bengals,Mike Nugent 55 yard field goal,0,24
3.0,10:28,Raiders,Sebastian Janikowski 55 yard field goal,3,24
,2:21,Raiders,Denarius Moore 20 yard pass from Carson Palmer (Sebastian Janikowski kick),10,24
4.0,12:29,Bengals,Mike Nugent 20 yard field goal,10,27
,3:39,Bengals,Jermaine Gresham 7 yard pass from Andy Dalton (Mike Nugent kick),10,34
