Unnamed: 0,DAL,SEA
First Downs,16,20
Rush-Yds-TDs,39-164-0,22-72-0
Cmp-Att-Yd-TD-INT,13-24-136-1-2,23-42-224-1-2
Sacked-Yards,5-25,1-7
Net Pass Yards,111,217
Total Yards,275,289
Fumbles-Lost,4-0,2-1
Turnovers,2,3
Penalties-Yards,9-81,9-83
Third Down Conv.,3-15,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,34:08,25:52
