Quarter,Time,Tm,Detail,DAL,SEA
1.0,1:03,Cowboys,Keyshawn Johnson 5 yard pass from Drew Bledsoe (Jose Cortez kick),7,0
2.0,0:33,Seahawks,Josh Brown 55 yard field goal,7,3
4.0,2:06,Cowboys,Jose Cortez 21 yard field goal,10,3
,0:40,Seahawks,Ryan Hannam 1 yard pass from Matt Hasselbeck (Josh Brown kick),10,10
,0:00,Seahawks,Josh Brown 50 yard field goal,10,13
