Unnamed: 0,CIN,TEN
First Downs,20,19
Rush-Yds-TDs,30-109-0,20-78-0
Cmp-Att-Yd-TD-INT,22-39-217-3-0,24-41-272-2-0
Sacked-Yards,1-7,2-22
Net Pass Yards,210,250
Total Yards,319,328
Fumbles-Lost,1-0,3-1
Turnovers,0,1
Penalties-Yards,9-87,7-100
Third Down Conv.,8-16,5-14
Fourth Down Conv.,0-0,1-1
Time of Possession,32:55,27:05
