Quarter,Time,Tm,Detail,CIN,TEN
1.0,7:20,Titans,Rob Bironas 43 yard field goal,0,3
2.0,10:41,Bengals,Colin Cochart 1 yard pass from Andy Dalton (Mike Nugent kick),7,3
,5:18,Titans,Damian Williams 8 yard pass from Matt Hasselbeck (Rob Bironas kick),7,10
,0:08,Titans,Lavelle Hawkins 16 yard pass from Matt Hasselbeck (Rob Bironas kick),7,17
3.0,6:33,Bengals,Jerome Simpson 15 yard pass from Andy Dalton (Mike Nugent kick),14,17
4.0,10:52,Bengals,Andre Caldwell 5 yard pass from Andy Dalton (Mike Nugent kick),21,17
,1:55,Bengals,Mike Nugent 36 yard field goal,24,17
