Quarter,Time,Tm,Detail,SFO,KAN
1.0,8:55,Chiefs,Dante Hall 13 yard pass from Damon Huard (Lawrence Tynes kick),0,7
,4:08,Chiefs,Lawrence Tynes 22 yard field goal,0,10
2.0,5:16,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),0,17
,3:05,Chiefs,Eddie Kennison 34 yard pass from Damon Huard (Lawrence Tynes kick),0,24
3.0,11:47,Chiefs,Lawrence Tynes 49 yard field goal,0,27
4.0,14:20,Chiefs,Larry Johnson 2 yard rush (Lawrence Tynes kick),0,34
,5:39,Chiefs,Dante Hall 60 yard punt return (Lawrence Tynes kick),0,41
