Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 65 yards, returned by Dante Hall for 22 yards (tackle by Bryan Gilmore)",0.000,0.740
1,14:54,1,10,KAN 27,0,0,Larry Johnson middle for 4 yards (tackle by Jeff Ulbrich),0.740,0.740
1,14:21,2,6,KAN 31,0,0,Larry Johnson middle for 2 yards (tackle by Anthony Adams),0.740,0.300
1,13:40,3,4,KAN 33,0,0,Damon Huard pass complete to Larry Johnson for 27 yards (tackle by Mike Adams),0.300,2.920
1,13:09,1,10,SFO 40,0,0,Larry Johnson middle for 1 yard (tackle by Bryant Young),2.920,2.510
1,12:36,2,9,SFO 39,0,0,Larry Johnson left end for 2 yards (tackle by Shawntae Spencer),2.510,2.080
1,11:53,3,7,SFO 37,0,0,Damon Huard pass complete to Tony Gonzalez for 13 yards (tackle by Manny Lawson),2.080,3.970
1,11:08,1,10,SFO 24,0,0,Damon Huard pass complete to Eddie Kennison for 4 yards (tackle by Shawntae Spencer),3.970,3.970
1,10:32,2,6,SFO 20,0,0,Larry Johnson middle for 4 yards (tackle by Marques Douglas),3.970,3.950
1,9:48,3,2,SFO 16,0,0,Damon Huard pass complete to Samie Parker for 3 yards (tackle by Jeff Ulbrich),3.950,4.710
1,9:02,1,10,SFO 13,0,6,"Damon Huard pass complete to Dante Hall for 13 yards, touchdown",4.710,7.000
1,,,,SFO 2,0,7,Lawrence Tynes kicks extra point good,0.000,0.000
1,,,,KAN 30,0,7,"Lawrence Tynes kicks off 62 yards, returned by Maurice Hicks for 25 yards (tackle by Kris Griffin)",0.000,1.140
1,8:48,1,10,SFO 33,0,7,Frank Gore middle for 5 yards (tackle by Sammy Knight),1.140,1.270
1,8:04,2,5,SFO 38,0,7,"Alex Smith sacked by Tamba Hali for -6 yards. Alex Smith fumbles (forced by Tamba Hali), recovered by Alex Smith at SFO-35",1.270,0.170
1,7:23,3,8,SFO 35,0,7,"Penalty on Alex Smith: Delay of Game, 5 yards (no play)",0.170,-0.490
1,6:53,3,13,SFO 30,0,7,--,-0.490,-3.910
1,6:42,1,10,SFO 25,0,7,Damon Huard pass incomplete middle intended for Larry Johnson,3.910,3.360
1,6:35,2,10,SFO 25,0,7,Larry Johnson middle for 1 yard (tackle by Melvin Oliver),3.360,2.810
1,5:59,3,9,SFO 24,0,7,Damon Huard pass complete to Eddie Kennison for 15 yards (tackle by Shawntae Spencer),2.810,5.140
1,5:30,1,9,SFO 9,0,7,Larry Johnson middle for 2 yards (tackle by Jeff Ulbrich),5.140,4.760
1,4:53,2,7,SFO 7,0,7,Larry Johnson middle for 3 yards (tackle by Bryant Young),4.760,4.490
1,4:16,3,4,SFO 4,0,7,Damon Huard pass incomplete intended for Tony Gonzalez (defended by Mark Roman),4.490,3.030
1,4:16,4,4,SFO 4,0,10,Lawrence Tynes 22 yard field goal good,3.030,3.000
1,,,,KAN 30,0,10,"Lawrence Tynes kicks off 57 yards, muffed catch by Maurice Hicks, recovered by Moran Norris and returned for no gain",0.000,0.670
1,4:05,1,10,SFO 26,0,10,Frank Gore middle for 4 yards (tackle by James Reed),0.670,0.670
1,3:24,2,6,SFO 30,0,10,Alex Smith pass complete to Antonio Bryant for 22 yards (tackle by Sammy Knight),0.670,2.390
1,2:47,1,10,KAN 48,0,10,Michael Robinson middle for 3 yards (tackle by Derrick Johnson and James Reed),2.390,2.250
1,2:07,2,7,KAN 45,0,10,Michael Robinson right end for 3 yards (tackle by Derrick Johnson),2.250,1.950
1,1:35,3,4,KAN 42,0,10,Alex Smith pass incomplete intended for Arnaz Battle,1.950,0.460
1,1:31,4,4,KAN 42,0,10,"Andy Lee punts 33 yards, fair catch by Dante Hall",0.460,0.380
1,1:23,1,10,KAN 9,0,10,Larry Johnson right end for 3 yards (tackle by Derek Smith and Mark Roman),-0.380,-0.560
1,0:54,2,7,KAN 12,0,10,Damon Huard pass complete to Eddie Kennison for 12 yards (tackle by Shawntae Spencer),-0.560,0.540
1,0:12,1,10,KAN 24,0,10,Damon Huard pass complete to Larry Johnson for 3 yards (tackle by Brandon Moore),0.540,0.400
Quarter,Time,Down,ToGo,Location,SFO,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,KAN 27,0,10,Larry Johnson right end for -2 yards (tackle by Mark Roman),0.400,-0.560
