Unnamed: 0,SFO,KAN
First Downs,10,23
Rush-Yds-TDs,22-89-0,40-125-2
Cmp-Att-Yd-TD-INT,13-25-92-0-2,18-23-208-2-0
Sacked-Yards,4-16,0-0
Net Pass Yards,76,208
Total Yards,165,333
Fumbles-Lost,3-2,0-0
Turnovers,4,0
Penalties-Yards,6-73,3-30
Third Down Conv.,3-13,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,24:45,35:15
