Unnamed: 0,KAN,HOU
First Downs,28,14
Rush-Yds-TDs,42-226-2,19-78-1
Cmp-Att-Yd-TD-INT,19-29-220-3-1,19-36-182-0-1
Sacked-Yards,0-0,1-1
Net Pass Yards,220,181
Total Yards,446,259
Fumbles-Lost,1-0,4-2
Turnovers,1,3
Penalties-Yards,5-30,6-43
Third Down Conv.,7-14,1-11
Fourth Down Conv.,1-1,1-4
Time of Possession,36:58,23:02
