Quarter,Time,Tm,Detail,KAN,HOU
1.0,9:32,Chiefs,Lawrence Tynes 35 yard field goal,3,0
,4:20,Chiefs,Larry Johnson 23 yard rush (Lawrence Tynes kick),10,0
,4:05,Texans,Jerome Mathis 99 yard kickoff return (Kris Brown kick),10,7
2.0,10:14,Chiefs,Eddie Kennison 26 yard pass from Trent Green (Lawrence Tynes kick),17,7
,6:23,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),24,7
,0:03,Chiefs,Eric Warfield 57 yard interception return (Lawrence Tynes kick),31,7
3.0,8:54,Texans,Domanick Williams 3 yard rush (Kris Brown kick),31,14
,0:42,Texans,Kris Brown 22 yard field goal,31,17
4.0,8:38,Chiefs,Eddie Kennison 7 yard pass from Trent Green (Lawrence Tynes kick),38,17
,4:35,Chiefs,Samie Parker 6 yard pass from Trent Green (Lawrence Tynes kick),45,17
