Quarter,Time,Tm,Detail,PIT,DEN
1.0,11:21,Broncos,Brandon McManus 28 yard field goal,0,3
,3:40,Broncos,Brandon McManus 41 yard field goal,0,6
,1:22,Steelers,Fitzgerald Toussaint 1 yard rush (Chris Boswell kick),7,6
2.0,10:19,Steelers,Chris Boswell 43 yard field goal,10,6
,0:00,Broncos,Brandon McManus 51 yard field goal,10,9
3.0,9:32,Steelers,Chris Boswell 28 yard field goal,13,9
,2:45,Broncos,Brandon McManus 41 yard field goal,13,12
4.0,3:00,Broncos,C.J. Anderson 1 yard rush (Demaryius Thomas pass from Peyton Manning),13,20
,0:53,Broncos,Brandon McManus 45 yard field goal,13,23
,0:19,Steelers,Chris Boswell 47 yard field goal,16,23
