Unnamed: 0,PIT,DEN
First Downs,16,19
Rush-Yds-TDs,19-85-1,33-109-1
Cmp-Att-Yd-TD-INT,24-37-339-0-0,21-37-222-0-0
Sacked-Yards,3-28,1-7
Net Pass Yards,311,215
Total Yards,396,324
Fumbles-Lost,2-1,1-0
Turnovers,1,0
Penalties-Yards,5-38,4-49
Third Down Conv.,2-12,3-15
Fourth Down Conv.,0-2,0-1
Time of Possession,28:27,31:33
