Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
2,14:20,4,11,PIT 43,7,6,"Britton Colquitt punts 35 yards, returned by Markus Wheaton for 7 yards (tackle by Darian Stewart)",0.400,0.220
2,14:12,1,10,PIT 15,7,6,Fitzgerald Toussaint right guard for 4 yards (tackle by Aqib Talib),-0.220,-0.110
2,13:36,2,6,PIT 19,7,6,Fitzgerald Toussaint middle for 1 yard (tackle by Von Miller),-0.110,-0.760
2,12:52,3,5,PIT 20,7,6,Ben Roethlisberger pass complete deep left to Darrius Heyward-Bey for 58 yards (tackle by Bradley Roby),-0.760,4.110
2,12:01,1,10,DEN 22,7,6,Fitzgerald Toussaint right tackle for 4 yards (tackle by Antonio Smith),4.110,4.130
2,11:15,2,6,DEN 18,7,6,Ben Roethlisberger sacked by Antonio Smith for -7 yards,4.130,2.480
2,10:31,3,13,DEN 25,7,6,Ben Roethlisberger pass incomplete short middle intended for Heath Miller,2.480,1.800
2,10:24,4,13,DEN 25,10,6,Chris Boswell 43 yard field goal good,1.800,3.000
2,10:24,,,PIT 35,10,6,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.280
2,10:19,1,10,DEN 20,10,6,Ronnie Hillman right tackle for 5 yards (tackle by Jacoby Jones),0.280,0.410
2,9:41,2,5,DEN 25,10,6,Ronnie Hillman right guard for 1 yard (tackle by Stephon Tuitt and Jacoby Jones),0.410,-0.160
2,8:59,3,4,DEN 26,10,6,Peyton Manning pass incomplete short middle intended for C.J. Anderson,-0.160,-1.630
2,8:55,4,4,DEN 26,10,6,"Britton Colquitt punts 48 yards, returned by Markus Wheaton for 12 yards (tackle by Aaron Brewer)",-1.630,-1.470
2,8:44,1,10,PIT 38,10,6,Ben Roethlisberger pass complete short right to Matt Spaeth for 1 yard (tackle by Von Miller),1.470,1.060
2,8:09,2,9,PIT 39,10,6,Fitzgerald Toussaint right tackle for 1 yard (tackle by Danny Trevathan),1.060,0.500
2,7:29,3,8,PIT 40,10,6,Ben Roethlisberger sacked by Derek Wolfe for -8 yards,0.500,-1.240
2,6:54,4,16,PIT 32,10,6,"Jordan Berry punts 27 yards, out of bounds",-1.240,-1.660
2,6:48,1,10,DEN 41,10,6,Peyton Manning pass complete short middle to Emmanuel Sanders for 15 yards (tackle by William Gay),1.660,2.650
2,6:11,1,10,PIT 44,10,6,Peyton Manning pass incomplete deep right intended for Bennie Fowler,2.650,2.110
2,6:05,2,10,PIT 44,10,6,Peyton Manning pass incomplete short left intended for Bennie Fowler,2.110,2.110
2,5:59,2,10,PIT 44,10,6,Timeout #1 by Denver Broncos,2.110,1.420
2,5:59,3,10,PIT 44,10,6,Peyton Manning pass complete short left to C.J. Anderson for 7 yards (tackle by William Gay),1.420,0.790
2,5:16,4,3,PIT 37,10,6,Peyton Manning pass incomplete short middle intended for Emmanuel Sanders (defended by Mike Mitchell),0.790,-1.400
2,5:12,1,10,PIT 37,10,6,Ben Roethlisberger pass complete short right to Fitzgerald Toussaint for 1 yard (tackle by Brandon Marshall),1.400,0.990
2,4:30,2,9,PIT 38,10,6,Ben Roethlisberger pass complete short right to Martavis Bryant for 7 yards (tackle by Aqib Talib),0.990,1.220
2,3:46,3,2,PIT 45,10,6,Martavis Bryant left end for no gain (tackle by T.J. Ward),1.220,-0.390
2,3:21,4,2,PIT 45,10,6,"Jordan Berry punts 50 yards, out of bounds",-0.390,0.380
2,3:14,1,10,DEN 5,10,6,C.J. Anderson middle for 1 yard (tackle by Stephon Tuitt and Ryan Shazier),-0.380,-0.710
2,2:33,2,9,DEN 6,10,6,C.J. Anderson left guard for 34 yards (tackle by Jacoby Jones),-0.710,1.600
2,2:02,1,10,DEN 40,10,6,Ronnie Hillman left tackle for 1 yard (tackle by Ryan Shazier),1.600,1.190
2,1:56,2,9,DEN 41,10,6,Peyton Manning pass complete short middle to Owen Daniels for 6 yards (tackle by Lawrence Timmons),1.190,1.290
2,1:17,3,3,DEN 47,10,6,Peyton Manning pass complete short left to Demaryius Thomas for 10 yards (tackle by William Gay and Jacoby Jones),1.290,2.720
2,0:53,1,10,PIT 43,10,6,Peyton Manning pass complete short right to Bennie Fowler for 4 yards (tackle by Brandon Boykin),2.720,2.720
2,0:47,1,10,PIT 43,10,6,Timeout #2 by Denver Broncos,2.720,2.720
2,0:47,2,6,PIT 39,10,6,C.J. Anderson middle for 7 yards (tackle by Jacoby Jones),2.720,3.450
2,0:22,1,10,PIT 32,10,6,Peyton Manning pass incomplete deep left intended for Demaryius Thomas,3.450,2.900
2,0:16,2,10,PIT 32,10,6,Peyton Manning pass incomplete short right intended for Jordan Norwood,2.900,2.210
2,0:12,3,10,PIT 32,10,6,"Peyton Manning for no gain. Peyton Manning fumbles, recovered by Peyton Manning at PIT-33",2.210,2.210
2,0:05,3,10,PIT 32,10,6,Timeout #3 by Denver Broncos,2.210,1.150
2,0:05,4,11,PIT 33,10,9,Brandon McManus 51 yard field goal good,1.150,3.000
Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,10,9,"Chris Boswell kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,DEN 20,10,9,C.J. Anderson right guard for 2 yards (tackle by James Harrison),0.280,0.000
3,14:24,2,8,DEN 22,10,9,C.J. Anderson right tackle for 1 yard (tackle by Bud Dupree),0.000,-0.560
3,13:42,3,7,DEN 23,10,9,"Peyton Manning pass incomplete short left intended for Demaryius Thomas. Penalty on William Gay: Defensive Pass Interference, 9 yards (no play)",-0.560,1.070
3,13:37,1,10,DEN 32,10,9,Ronnie Hillman right guard for 1 yard (tackle by Lawrence Timmons),1.070,0.660
3,13:15,2,9,DEN 33,10,9,Peyton Manning pass complete short right to Virgil Green for 3 yards (tackle by Will Allen),0.660,0.370
3,12:27,3,6,DEN 36,10,9,Peyton Manning pass complete short left to Andre Caldwell for -1 yards (tackle by William Gay),0.370,-1.040
3,12:00,4,7,DEN 35,10,9,"Britton Colquitt punts 45 yards, returned by Markus Wheaton for 1 yard (tackle by Kayvon Webster)",-1.040,-0.340
3,11:51,1,10,PIT 21,10,9,Ben Roethlisberger pass incomplete short left intended for Martavis Bryant,0.340,-0.200
3,11:48,2,10,PIT 21,10,9,Ben Roethlisberger pass complete short left to Martavis Bryant for 52 yards (tackle by T.J. Ward),-0.200,3.780
3,10:59,1,10,DEN 27,10,9,Ben Roethlisberger pass incomplete short middle intended for Heath Miller (defended by Brandon Marshall),3.780,3.230
3,10:55,2,10,DEN 27,10,9,Ben Roethlisberger pass complete short right to Martavis Bryant for 12 yards,3.230,4.580
3,10:29,1,10,DEN 15,10,9,Ben Roethlisberger pass incomplete short left intended for Martavis Bryant (defended by Chris Harris),4.580,3.950
3,10:26,2,10,DEN 15,10,9,Ben Roethlisberger pass complete short middle to Heath Miller for 5 yards (tackle by Danny Trevathan),3.950,4.000
3,9:40,3,5,DEN 10,10,9,Ben Roethlisberger pass incomplete short right intended for Martavis Bryant (defended by Aqib Talib),4.000,2.810
3,9:36,4,5,DEN 10,13,9,Chris Boswell 28 yard field goal good,2.810,3.000
3,9:36,,,PIT 35,13,9,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.280
3,9:32,1,10,DEN 20,13,9,Peyton Manning pass complete deep right to Emmanuel Sanders for 19 yards (tackle by Antwon Blake),0.280,1.530
3,8:54,1,10,DEN 39,13,9,Peyton Manning pass incomplete short left intended for Owen Daniels (defended by Jacoby Jones),1.530,0.990
3,8:49,2,10,DEN 39,13,9,Ronnie Hillman right tackle for -1 yards (tackle by James Harrison),0.990,0.170
3,8:12,3,11,DEN 38,13,9,Peyton Manning pass incomplete deep left intended for Demaryius Thomas,0.170,-0.850
3,8:07,4,11,DEN 38,13,9,"Britton Colquitt punts 51 yards, muffed catch by Markus Wheaton, ball out of bounds at PIT-6",-0.850,0.380
3,7:55,1,10,PIT 6,13,9,Fitzgerald Toussaint right tackle for -1 yards (tackle by Danny Trevathan),-0.380,-0.850
3,7:14,2,11,PIT 5,13,9,Fitzgerald Toussaint middle for no gain (tackle by Vance Walker),-0.850,-1.540
3,6:32,3,11,PIT 5,13,9,Jordan Todman middle for 5 yards (tackle by Brandon Marshall and Darian Stewart),-1.540,-2.490
3,6:00,4,6,PIT 10,13,9,"Jordan Berry punts 43 yards, fair catch by Jordan Norwood",-2.490,-2.060
3,5:53,1,10,DEN 47,13,9,Peyton Manning pass complete short left to Emmanuel Sanders for 10 yards (tackle by William Gay),2.060,2.720
3,5:29,1,10,PIT 43,13,9,Peyton Manning pass complete short middle to Jordan Norwood for 10 yards (tackle by Ryan Shazier),2.720,3.380
3,5:05,1,10,PIT 33,13,9,C.J. Anderson left guard for 11 yards (tackle by Will Allen and Mike Mitchell),3.380,4.110
3,4:23,1,10,PIT 22,13,9,Peyton Manning sacked by James Harrison for -7 yards,4.110,2.620
3,3:40,2,17,PIT 29,13,9,Peyton Manning pass complete short right to Cody Latimer for 6 yards (tackle by Brandon Boykin),2.620,2.620
3,2:54,2,17,PIT 29,13,9,Timeout #1 by Denver Broncos,2.620,2.740
3,2:54,3,11,PIT 23,13,9,Peyton Manning pass incomplete deep right intended for Jordan Norwood,2.740,1.930
3,2:50,4,11,PIT 23,13,12,Brandon McManus 41 yard field goal good,1.930,3.000
3,2:50,,,DEN 35,13,12,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,2:45,1,10,PIT 20,13,12,Ben Roethlisberger pass complete short middle to Sammie Coates for 24 yards (tackle by Chris Harris),0.280,1.860
3,2:11,1,10,PIT 44,13,12,Ben Roethlisberger pass complete short middle to Markus Wheaton for 6 yards (tackle by Chris Harris),1.860,2.130
3,1:30,2,4,,13,12,"Ben Roethlisberger pass incomplete deep left intended for Sammie Coates. Penalty on Bradley Roby: Defensive Pass Interference, 12 yards (no play)",2.130,3.050
3,1:25,1,10,DEN 38,13,12,Ben Roethlisberger pass complete short middle to Markus Wheaton for 5 yards (tackle by Danny Trevathan),3.050,3.180
