Quarter,Time,Tm,Detail,BAL,LAC
1.0,9:03,Chargers,Cameron Dicker 39 yard field goal,0,3
2.0,10:41,Ravens,Zay Flowers 3 yard pass from Lamar Jackson (Justin Tucker kick),7,3
,1:12,Ravens,Justin Tucker 42 yard field goal,10,3
3.0,10:53,Ravens,Justin Tucker 48 yard field goal,13,3
4.0,8:32,Chargers,Gerald Everett 3 yard pass from Justin Herbert (Cameron Dicker kick),13,10
,1:36,Ravens,Zay Flowers 37 yard rush (Justin Tucker kick),20,10
