Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA
1,4:47,2,5,LAC 16,0,3,Joshua Kelley right guard for 2 yards (tackle by Brent Urban),-0.300,-0.600
1,4:01,3,3,LAC 18,0,3,Justin Herbert pass complete short right to Keenan Allen for 3 yards (tackle by Geno Stone),-0.600,0.340
1,3:29,1,10,LAC 21,0,3,Justin Herbert scrambles right end for 2 yards (tackle by Michael Pierce),0.340,0.070
1,2:52,2,8,LAC 23,0,3,Derius Davis left end for -2 yards (tackle by Kyle Hamilton),0.070,-0.890
1,2:18,3,10,LAC 21,0,3,Justin Herbert pass incomplete deep left intended for Jalen Guyton,-0.890,-1.960
1,2:11,4,10,LAC 21,0,3,"JK Scott punts 57 yards, fair catch by Devin Duvernay at BAL-22",-1.960,-0.410
1,2:02,1,10,BAL 22,0,3,"Lamar Jackson pass complete to Isaiah Likely for no gain. Penalty on Gus Edwards: Offensive Holding, 10 yards (accepted) (no play)",0.410,-0.660
1,1:36,1,20,BAL 12,0,3,Lamar Jackson pass complete short left to Isaiah Likely for 18 yards (tackle by Alohi Gilman),-0.660,0.950
1,0:51,2,2,BAL 30,0,3,Gus Edwards right guard for 4 yards (tackle by Nick Williams and Tuli Tuipulotu),0.950,1.200
1,0:07,1,10,BAL 34,0,3,Lamar Jackson pass complete short left to Odell Beckham for 11 yards (tackle by Alohi Gilman),1.200,1.930
Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BAL 45,0,3,Lamar Jackson pass complete short right to Keaton Mitchell for 14 yards (tackle by Asante Samuel),1.930,2.850
2,14:26,1,10,LAC 41,0,3,Lamar Jackson pass complete short middle to Odell Beckham for 14 yards (tackle by Deane Leonard),2.850,3.780
2,13:42,1,10,LAC 27,0,3,Lamar Jackson right end for 1 yard (tackle by Tuli Tuipulotu),3.780,3.370
2,12:57,2,9,LAC 26,0,3,Lamar Jackson pass incomplete short left intended for Rashod Bateman (defended by Alohi Gilman),3.370,2.680
2,12:53,3,9,LAC 26,0,3,Lamar Jackson pass complete short middle to Rashod Bateman for 12 yards (tackle by Deane Leonard),2.680,4.650
2,12:20,1,10,LAC 14,0,3,Justice Hill up the middle for 8 yards (tackle by Eric Kendricks and Derwin James),4.650,5.470
2,11:58,2,2,LAC 6,0,3,Justice Hill up the middle for 3 yards (tackle by Alohi Gilman),5.470,6.510
2,11:26,,,,,,Timeout #2 by Los Angeles Chargers,,
2,11:26,1,3,LAC 3,0,3,Justice Hill right guard for no gain (tackle by Khalil Mack),6.510,5.530
2,10:46,2,3,LAC 3,6,3,"Lamar Jackson pass complete short middle to Zay Flowers for 3 yards, touchdown",5.530,7.000
2,10:41,,,LAC 15,6,3,Justin Tucker kicks extra point good (no play),0.000,0.000
2,10:41,,,LAC 20,7,3,Justin Tucker kicks extra point good,0.000,0.000
2,10:41,,,BAL 35,7,3,"Justin Tucker kicks off 66 yards, returned by Derius Davis for 21 yards (tackle by Daryl Worley)",0.000,0.280
2,10:37,1,10,LAC 20,7,3,Justin Herbert sacked by and Travis Jones for -7 yards and Justin Madubuike for -7 yards,0.280,-1.280
2,9:55,2,17,LAC 13,7,3,Justin Herbert pass incomplete deep left intended for Jalen Guyton (defended by Marcus Williams) (defended by Kyle Hamilton),-1.280,-2.190
2,9:48,3,17,LAC 13,7,3,Justin Herbert pass complete short right to Joshua Kelley for 6 yards (tackle by Kyle Hamilton and Travis Jones),-2.190,-2.140
2,9:10,4,11,LAC 19,7,3,"JK Scott punts 46 yards, returned by Devin Duvernay for 3 yards (tackle by Nick Niemann)",-2.140,-1.470
2,8:58,1,10,BAL 38,7,3,"Lamar Jackson pass complete to Rashod Bateman for no gain. Penalty on Ronnie Stanley: Offensive Illegal Block Above the Waist, 10 yards (accepted) (no play)",1.470,0.810
2,8:48,1,20,BAL 28,7,3,Lamar Jackson right tackle for 8 yards (tackle by Otito Ogbonnia),0.810,0.650
2,8:02,2,12,BAL 36,7,3,Lamar Jackson pass complete short right to Isaiah Likely for 11 yards (tackle by Derwin James),0.650,1.420
2,7:49,3,1,BAL 47,7,3,Keaton Mitchell up the middle for 1 yard (tackle by Otito Ogbonnia and Khalil Mack),1.420,2.130
2,6:58,1,10,BAL 48,7,3,Lamar Jackson pass complete short right to Isaiah Likely for 7 yards (tackle by Derwin James),2.130,2.530
2,6:21,2,3,LAC 45,7,3,Lamar Jackson pass complete short left to Rashod Bateman for 9 yards (tackle by Asante Samuel),2.530,3.180
2,5:40,1,10,LAC 36,7,3,Lamar Jackson scrambles left end for 7 yards (tackle by Kenneth Murray),3.180,3.580
2,4:50,2,3,LAC 29,7,3,Lamar Jackson pass incomplete short right intended for Odell Beckham,3.580,2.870
2,4:48,,,,,,Timeout #1 by Baltimore Ravens,,
2,4:48,3,3,LAC 29,7,3,Lamar Jackson scrambles left end for 2 yards (tackle by Kenneth Murray),2.870,1.820
2,4:16,4,1,LAC 27,7,3,Gus Edwards right end for no gain (tackle by Kenneth Murray and Alohi Gilman),1.820,-0.740
2,4:13,1,10,LAC 27,7,3,Austin Ekeler left end for 3 yards (tackle by Michael Pierce and Marcus Williams),0.740,0.600
2,3:43,2,7,LAC 30,7,3,"Justin Herbert pass complete short middle to Keenan Allen for 4 yards. Keenan Allen fumbles (forced by Roquan Smith), recovered by Brent Urban at LAC-34",0.600,-3.310
2,3:33,1,10,LAC 34,7,3,Keaton Mitchell right end for 9 yards (tackle by Alohi Gilman),3.310,3.990
2,3:00,2,1,LAC 25,7,3,"Penalty on Austin Johnson: Neutral Zone Infraction, 6 yards (accepted) (no play)",3.990,4.310
2,2:43,1,10,LAC 19,7,3,Devin Duvernay left end for no gain (tackle by Alohi Gilman and Khalil Mack),4.310,3.750
2,2:00,2,10,LAC 19,7,3,Lamar Jackson sacked by Khalil Mack for -5 yards,3.750,2.410
2,1:23,3,15,LAC 24,7,3,"Lamar Jackson pass incomplete short middle. Penalty on Kevin Zeitler: Ineligible Downfield Pass, 5 yards (declined)",2.410,1.870
2,1:16,4,15,LAC 24,10,3,Justin Tucker 42 yard field goal good,1.870,3.000
2,1:12,,,BAL 35,10,3,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,1:12,1,10,LAC 25,10,3,Justin Herbert pass complete short right to Keenan Allen for 5 yards (tackle by Geno Stone),0.610,0.810
2,0:56,2,4,LAC 30,10,3,Justin Herbert pass complete short right to Keenan Allen for 14 yards (tackle by Brandon Stephens),0.810,1.860
2,0:37,1,10,LAC 44,10,3,"Justin Herbert pass complete short middle to Austin Ekeler for 3 yards. Austin Ekeler fumbles (forced by Patrick Queen), recovered by Michael Pierce at LAC-47 (tackle by Patrick Queen)",1.860,-2.460
2,0:26,1,10,LAC 47,10,3,Lamar Jackson pass incomplete short middle intended for Isaiah Likely,2.460,1.910
2,0:21,2,10,LAC 47,10,3,Lamar Jackson pass complete short left to Isaiah Likely for 4 yards (tackle by Derwin James),1.910,1.750
2,0:16,3,6,LAC 43,10,3,"Lamar Jackson sacked by Khalil Mack for -8 yards. Lamar Jackson fumbles (forced by Austin Johnson) (tackle by Khalil Mack), recovered by John Simpson at BAL-49 and returned for 8 yards",1.750,-0.130
2,0:08,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:08,4,14,BAL 49,10,3,Lamar Jackson pass incomplete deep left intended for Rashod Bateman,-0.130,-2.320
2,0:03,1,10,BAL 49,10,3,Justin Herbert pass deep left is intercepted by Arthur Maulet at BAL-2 and returned for no gain (tackle by Donald Parham),2.320,0.000
Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,10,3,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BAL 25,10,3,Gus Edwards left guard for 2 yards (tackle by Nick Williams),0.610,0.330
3,14:23,2,8,BAL 27,10,3,Lamar Jackson pass complete short left to Zay Flowers for 18 yards (tackle by Alohi Gilman),0.330,1.930
3,13:59,1,10,BAL 45,10,3,Gus Edwards left guard for 5 yards (tackle by Derwin James),1.930,2.060
3,13:10,2,5,BAL 50,10,3,Gus Edwards left tackle for 3 yards (tackle by Kenneth Murray and Jaylinn Hawkins),2.060,1.750
3,12:33,3,2,LAC 47,10,3,Justice Hill up the middle for 18 yards (tackle by Alohi Gilman and Jaylinn Hawkins),1.750,3.640
3,11:49,1,10,LAC 29,10,3,Keaton Mitchell up the middle for -1 yards (tackle by Eric Kendricks and Alohi Gilman),3.640,2.970
3,11:09,2,11,LAC 30,10,3,Lamar Jackson pass incomplete short left intended for Justice Hill,2.970,2.280
3,11:02,3,11,LAC 30,10,3,Lamar Jackson pass incomplete deep left intended for Odell Beckham,2.280,1.410
3,10:58,4,11,LAC 30,13,3,Justin Tucker 48 yard field goal good,1.410,3.000
3,10:53,,,BAL 35,13,3,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,10:53,1,10,LAC 25,13,3,Austin Ekeler left tackle for 2 yards (tackle by Roquan Smith and Michael Pierce),0.610,0.330
3,10:34,2,8,LAC 27,13,3,Justin Herbert pass complete short right to Quentin Johnston for 7 yards (tackle by Ronald Darby),0.330,0.560
3,10:10,3,1,LAC 34,13,3,Justin Herbert pass incomplete short middle intended for Quentin Johnston (defended by Roquan Smith),0.560,-1.110
3,10:05,4,1,LAC 34,13,3,"JK Scott punts 53 yards, fair catch by Devin Duvernay at BAL-13",-1.110,0.320
3,9:57,1,10,BAL 13,13,3,Lamar Jackson right guard for 8 yards (tackle by Eric Kendricks),-0.320,0.350
3,9:18,2,2,BAL 21,13,3,Keaton Mitchell right guard for 29 yards (tackle by Deane Leonard),0.350,2.260
3,8:38,1,10,LAC 50,13,3,"Lamar Jackson pass incomplete short right. Penalty on Lamar Jackson: Intentional Grounding, 12 yards (accepted)",2.260,0.090
3,8:31,2,22,BAL 38,13,3,Lamar Jackson pass complete deep right to Nelson Agholor for 21 yards (tackle by Essang Bassey),0.090,2.210
3,7:59,3,1,LAC 41,13,3,Lamar Jackson pass incomplete short left intended for Zay Flowers (defended by Asante Samuel),2.210,0.530
3,7:58,,,,,,Timeout #1 by Baltimore Ravens,,
3,7:58,4,1,LAC 41,13,3,Gus Edwards right guard for 2 yards (tackle by Kenneth Murray),0.530,2.980
3,7:19,1,10,LAC 39,13,3,Lamar Jackson pass incomplete short middle intended for Rashod Bateman,2.980,2.440
3,7:11,2,10,LAC 39,13,3,Lamar Jackson pass complete short left to Zay Flowers for -5 yards (tackle by Deane Leonard),2.440,1.090
3,6:30,3,15,LAC 44,13,3,Lamar Jackson pass incomplete short left intended for Nelson Agholor,1.090,0.330
3,6:22,4,12,LAC 44,13,3,"Jordan Stout punts 29 yards, fair catch by Derius Davis at LAC-15",0.330,0.220
3,6:15,1,10,LAC 15,13,3,Justin Herbert pass complete short right to Keenan Allen for 14 yards (tackle by Brandon Stephens),-0.220,0.870
3,5:54,1,10,LAC 29,13,3,Justin Herbert pass complete short right to Gerald Everett for 3 yards (tackle by Geno Stone),0.870,0.730
3,5:23,2,7,LAC 32,13,3,Justin Herbert pass complete short right to Austin Ekeler for 8 yards (tackle by Roquan Smith),0.730,1.600
3,4:46,1,10,LAC 40,13,3,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Brandon Stephens),1.600,1.860
3,4:09,2,4,LAC 46,13,3,Justin Herbert pass complete short right to Keenan Allen for 3 yards (tackle by Marcus Williams and Kyle Hamilton),1.860,1.550
3,3:33,3,1,LAC 49,13,3,Justin Herbert pass incomplete short right intended for Stone Smartt (defended by Kyle Van Noy),1.550,-0.130
3,3:26,4,1,LAC 49,13,3,Austin Ekeler up the middle for 2 yards (tackle by Michael Pierce),-0.130,2.320
3,2:49,1,10,BAL 49,13,3,Justin Herbert pass complete short right to Keenan Allen for -2 yards (tackle by Kyle Hamilton),2.320,1.510
3,2:20,2,12,LAC 49,13,3,Justin Herbert pass incomplete short right intended for Quentin Johnston (defended by Brandon Stephens),1.510,0.830
3,2:17,3,12,LAC 49,13,3,"Penalty on Will Clapp: False Start, 5 yards (accepted) (no play)",0.830,0.170
3,2:17,3,17,LAC 44,13,3,"Justin Herbert pass complete short left to Keenan Allen for 3 yards, lateral to Austin Ekeler for 14 yards (tackle by Patrick Queen) BAL challenged the backward pass ruling, and the play was upheld.",0.170,2.980
3,1:51,1,10,BAL 39,13,3,Justin Herbert pass incomplete short left intended for Jalen Guyton,2.980,2.440
3,1:47,2,10,BAL 39,13,3,Justin Herbert pass complete short right to Keenan Allen for 9 yards (tackle by Brandon Stephens),2.440,2.940
3,1:27,3,1,BAL 30,13,3,Austin Ekeler up the middle for 5 yards (tackle by Geno Stone),2.940,3.910
3,0:54,1,10,BAL 25,13,3,Justin Herbert pass complete short right to Derius Davis for 2 yards (tackle by Kyle Van Noy),3.910,3.630
3,0:07,2,8,BAL 23,13,3,"Penalty on LAC: Delay of Game, 5 yards (accepted) (no play)",3.630,2.960
Quarter,Time,Down,ToGo,Location,BAL,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,13,BAL 28,13,3,Justin Herbert pass complete short left to Keenan Allen for 10 yards (tackle by Ronald Darby),2.960,3.660
4,14:27,3,3,BAL 18,13,3,Justin Herbert pass complete short middle to Gerald Everett for 6 yards (tackle by Roquan Smith),3.660,4.780
4,13:55,1,10,BAL 12,13,3,Justin Herbert pass complete short right to Austin Ekeler for -4 yards (tackle by Patrick Queen),4.780,3.530
4,13:17,2,14,BAL 16,13,3,Justin Herbert pass complete short right to Joshua Kelley for no gain (tackle by Marcus Williams and Geno Stone),3.530,2.930
4,12:42,3,14,BAL 16,13,3,"Justin Herbert sacked by Jadeveon Clowney for -8 yards. Justin Herbert fumbles (forced by Jadeveon Clowney), recovered by Jadeveon Clowney at BAL-23 (tackle by Jadeveon Clowney)",2.930,-0.480
4,12:31,1,10,BAL 23,13,3,Gus Edwards right guard for 5 yards (tackle by Otito Ogbonnia),0.480,0.610
4,11:49,2,5,BAL 28,13,3,Lamar Jackson pass incomplete short middle intended for Zay Flowers (defended by Austin Johnson),0.610,-0.100
4,11:45,3,5,BAL 28,13,3,Lamar Jackson pass incomplete deep right intended for Zay Flowers (defended by Essang Bassey),-0.100,-1.500
4,11:37,4,5,BAL 28,13,3,"Jordan Stout punts 55 yards, returned by Derius Davis for 23 yards (tackle by Geno Stone and Del'Shawn Phillips)",-1.500,-1.600
4,11:23,1,10,LAC 40,13,3,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by Brandon Stephens),1.600,2.000
4,11:02,2,3,LAC 47,13,3,Justin Herbert scrambles left end for 35 yards (tackle by Patrick Queen),2.000,4.370
4,10:29,1,10,BAL 18,13,3,Austin Ekeler left guard for 6 yards (tackle by Kyle Van Noy),4.370,4.810
4,9:58,2,4,BAL 12,13,3,Justin Herbert pass complete short left to Austin Ekeler for 7 yards (tackle by Del'Shawn Phillips),4.810,6.060
4,9:20,1,5,BAL 5,13,3,Austin Ekeler up the middle for 2 yards (tackle by Odafe Oweh),6.060,5.530
4,8:43,2,3,BAL 3,13,3,Justin Herbert pass incomplete short middle intended for Jalen Guyton,5.530,4.720
4,8:36,3,3,BAL 3,13,9,"Justin Herbert pass complete short left to Gerald Everett for 3 yards, touchdown",4.720,7.000
4,8:32,,,BAL 15,13,10,Cameron Dicker kicks extra point good,0.000,0.000
4,8:32,,,LAC 35,13,10,"Cameron Dicker kicks off 65 yards, touchback.",0.000,0.610
4,8:32,1,10,BAL 25,13,10,Lamar Jackson pass complete short middle to Gus Edwards for 11 yards (tackle by Essang Bassey and Asante Samuel),0.610,1.330
4,7:56,1,10,BAL 36,13,10,Gus Edwards left guard for 5 yards (tackle by Kenneth Murray),1.330,1.470
4,7:13,2,5,BAL 41,13,10,Keaton Mitchell right guard for 12 yards (tackle by Asante Samuel),1.470,2.460
4,6:26,1,10,LAC 47,13,10,"Penalty on Ronnie Stanley: False Start, 5 yards (accepted) (no play)",2.460,2.130
4,6:26,1,15,BAL 48,13,10,Lamar Jackson pass complete short right to Zay Flowers for 6 yards (tackle by Deane Leonard),2.130,2.050
4,5:57,2,9,LAC 46,13,10,Lamar Jackson pass complete short right to Keaton Mitchell for 11 yards (tackle by Eric Kendricks and Essang Bassey),2.050,3.250
4,5:13,1,10,LAC 35,13,10,Lamar Jackson scrambles right end for 1 yard (tackle by Tuli Tuipulotu),3.250,2.840
4,4:34,2,9,LAC 34,13,10,Keaton Mitchell right end for 6 yards (tackle by Deane Leonard),2.840,2.940
4,3:51,3,3,LAC 28,13,10,Justice Hill up the middle for 2 yards (tackle by Tuli Tuipulotu and Austin Johnson),2.940,1.890
4,2:58,4,1,LAC 26,13,10,Justin Tucker 44 yard field goal no good,1.890,-1.200
4,2:57,1,10,LAC 34,13,10,Austin Ekeler up the middle for -1 yards (tackle by Odafe Oweh),1.200,0.520
4,2:35,2,11,LAC 33,13,10,Justin Herbert pass complete deep left to Alex Erickson for 17 yards,0.520,2.260
4,2:27,1,10,LAC 50,13,10,Justin Herbert pass incomplete short right intended for Alex Erickson,2.260,1.710
4,2:23,2,10,LAC 50,13,10,Justin Herbert pass complete short middle to Jalen Guyton for 4 yards (tackle by Arthur Maulet and Roquan Smith),1.710,1.550
4,2:00,3,6,BAL 46,13,10,Justin Herbert pass incomplete short middle intended for Austin Ekeler (defended by Patrick Queen),1.550,0.200
4,1:54,4,6,BAL 46,13,10,"Justin Herbert pass incomplete short left. Penalty on Justin Herbert: Intentional Grounding, 10 yards (accepted)",0.200,-2.650
4,1:54,1,10,LAC 44,13,10,Lamar Jackson right tackle for 5 yards (tackle by Eric Kendricks),2.650,2.720
4,1:49,,,,,,Timeout #1 by Los Angeles Chargers,,
4,1:49,2,6,LAC 39,13,10,Lamar Jackson up the middle for 2 yards (tackle by Austin Johnson),2.720,2.350
4,1:44,,,,,,Timeout #2 by Los Angeles Chargers,,
4,1:44,3,3,LAC 37,19,10,"Zay Flowers left end for 37 yards, touchdown",2.350,7.000
4,1:36,,,LAC 15,20,10,Justin Tucker kicks extra point good,0.000,0.000
4,1:36,,,BAL 35,20,10,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,1:36,1,10,LAC 25,20,10,Justin Herbert pass complete deep right to Keenan Allen for 21 yards,0.610,1.990
4,1:30,1,10,LAC 46,20,10,Justin Herbert pass incomplete deep left intended for Keenan Allen,1.990,1.450
4,1:26,2,10,LAC 46,20,10,Justin Herbert sacked by Broderick Washington for -9 yards,1.450,-0.430
4,1:02,3,19,LAC 37,20,10,Justin Herbert pass incomplete deep right intended for Alex Erickson,-0.430,-0.910
4,0:57,4,19,LAC 37,20,10,Justin Herbert pass incomplete short left intended for Keenan Allen,-0.910,-3.120
4,0:53,1,10,LAC 37,20,10,Lamar Jackson kneels for -1 yards,3.120,2.440
4,0:26,2,11,LAC 38,20,10,Lamar Jackson kneels for -1 yards,2.440,1.620
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
