Unnamed: 0,NYG,PHI
First Downs,18,24
Rush-Yds-TDs,23-81-0,37-158-1
Cmp-Att-Yd-TD-INT,24-38-189-1-2,24-38-280-1-3
Sacked-Yards,3-23,1-10
Net Pass Yards,166,270
Total Yards,247,428
Fumbles-Lost,2-1,3-1
Turnovers,3,4
Penalties-Yards,12-92,9-72
Third Down Conv.,4-13,6-16
Fourth Down Conv.,0-1,0-0
Time of Possession,29:30,30:30
