Unnamed: 0,HOU,TEN
First Downs,18,19
Rush-Yds-TDs,28-146-1,37-158-2
Cmp-Att-Yd-TD-INT,17-37-188-0-3,13-25-185-1-1
Sacked-Yards,3-17,0-0
Net Pass Yards,171,185
Total Yards,317,343
Fumbles-Lost,2-0,1-1
Turnovers,3,2
Penalties-Yards,2-10,8-75
Third Down Conv.,3-15,5-13
Fourth Down Conv.,2-6,1-1
Time of Possession,30:41,29:19
