Quarter,Time,Tm,Detail,HOU,TEN
1.0,12:06,Texans,Kris Brown 44 yard field goal,3,0
,6:33,Titans,LenDale White 2 yard rush (Rob Bironas kick),3,7
,3:49,Texans,Kris Brown 24 yard field goal,6,7
2.0,14:46,Titans,Bo Scaife 9 yard pass from Kerry Collins (Rob Bironas kick),6,14
,8:31,Texans,Steve Slaton 6 yard rush,12,14
,4:36,Titans,LenDale White 1 yard rush (Rob Bironas kick),12,21
3.0,6:36,Titans,Rob Bironas 44 yard field goal,12,24
4.0,1:03,Titans,Cortland Finnegan 99 yard interception return (Rob Bironas kick),12,31
