Unnamed: 0,IND,TEN
First Downs,16,9
Rush-Yds-TDs,30-64-0,24-142-0
Cmp-Att-Yd-TD-INT,23-35-315-3-0,13-31-79-1-0
Sacked-Yards,1-1,4-29
Net Pass Yards,314,50
Total Yards,378,192
Fumbles-Lost,1-0,4-1
Turnovers,0,1
Penalties-Yards,4-20,4-20
Third Down Conv.,5-16,4-16
Fourth Down Conv.,1-3,1-3
Time of Possession,33:26,26:34
