Unnamed: 0,SEA,PIT
First Downs,8,19
Rush-Yds-TDs,13-38-0,41-163-2
Cmp-Att-Yd-TD-INT,14-30-122-0-1,18-22-206-1-0
Sacked-Yards,3-16,3-27
Net Pass Yards,106,179
Total Yards,144,342
Fumbles-Lost,0-0,2-0
Turnovers,1,0
Penalties-Yards,4-25,6-64
Third Down Conv.,4-13,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,19:15,40:45
